web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,content,date
"1570859116-3569","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/eric-ivanka-donald-trump-jr-joe-biden-conflicts-white-house-trump-organization_n_5d992e0de4b099389800d63a","Ex Bush Aide Says ‘Bivalves’ Have More Self-Awareness Than Trump Kids On Shady Deals","Eric and Donald Trump Jr. seem to be lobbing at Hunter Biden from a glass house, and don’t even know it.","Mary Papenfuss","","10/05/2019 11:57 pm ET"
"1570859393-5076","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-kurdish-forces-world-war-ii_n_5d9e624ce4b087efdba7a1c3","Trump On Abandoning Kurdish Forces: The Kurds Didn’t Help Us In WWII","The president, on the same day Turkey moved forward on them in Syria, defended his decision to pull support for Kurdish fighters allied with the U.S.","","While the Kurdish-led Syrian Democratic Forces didn’t assist the U.S. in World War II, the Kurdish fighters have been a tremendous help to American troops fighting ISIS.","10/09/2019 08:30 pm ET"
"1570859116-3570","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/eric-ivanka-donald-trump-jr-joe-biden-conflicts-white-house-trump-organization_n_5d992e0de4b099389800d63a","Ex Bush Aide Says ‘Bivalves’ Have More Self-Awareness Than Trump Kids On Shady Deals","Eric and Donald Trump Jr. seem to be lobbing at Hunter Biden from a glass house, and don’t even know it.","","As Eric and Donald Trump Jr. slam Joe Biden’s son for serving on the board of a Ukrainian company while his dad was vice president, their international operations capitalizing on White House connections are “warp speed” unethical, declared a former speechwriter for President George W. Bush.","10/05/2019 11:57 pm ET"
"1570859477-5459","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/house-subpoenas-rick-perry_n_5d9f9226e4b06ddfc5165763","Rick Perry Subpoenaed In House’s Trump Impeachment Probe","The energy secretary is the latest person in President Donald Trump’s orbit to face demands for documents.","","Perry must comply by Oct. 18.","10/10/2019 04:29 pm ET"
"1570859312-4571","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/white-house-accuses-democrats-impeachment-overturn-election_n_5d9cfd31e4b02c9da0406582","White House Refuses To Cooperate With Impeachment Inquiry; Constitutional Crisis Looms","An eight-page letter to House leaders, including Speaker Nancy Pelosi, said that the White House will not cooperate with the inquiry into President Trump’s actions.","","Last Thursday, the chairs of three committees released text messages they obtained from Kurt Volker, who was until last month the U.S. State Department’s special envoy to Ukraine. The missives appear to show clear instances of the Trump administration pressuring Ukraine for political favors.","10/08/2019 05:36 pm ET"
"1570859292-4462","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/warren-teachers-fired-pregnancy_n_5d9ca7b4e4b03b475fa08b78","Elizabeth Warren Is Right. In The 1970s, Pregnant Teachers Didn’t Keep Their Jobs.","Back then, teaching was the national model for discriminating against pregnant workers and getting away with it.","","The questions that case left unanswered — namely, whether pregnancy discrimination was a form of gender discrimination and subject to an even wider array of civil rights laws — led eventually to the passage of the Pregnancy Discrimination Act.","10/08/2019 05:52 pm ET"
"1570859202-4061","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-kurds-turkey-istanbul_n_5d9b82ffe4b03b475f9de498","In Turkey Vs. Kurds Dispute, Trump Chooses The Side Where He Has A Condo Complex","The administration is letting Turkey move into northern Syria to wipe out the Kurds, who have long fought Islamic State terrorism alongside the U.S.","","White House press secretary Stephanie Grisham said Monday that Trump’s decision had nothing to do with the Trump Towers Istanbul building complex. “Of course not,” she said.","10/07/2019 04:20 pm ET"
"1570859253-4293","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/tammy-kemp-defends-bible_n_5d9ca61de4b03b475fa08623","Texas Judge Defends Hugging, Gifting Bible To Botham Jean’s Killer","Judge Tammy Kemp noted that her Christian outreach to Amber Guyger happened after the trial was over.","","Kemp retrieved the Bible from her office and returned to the courtroom, still dressed in her official robes. She opened the book to John 3:16, a verse often cited by Christians as a summation of the faith’s teachings about salvation.","10/08/2019 02:05 pm ET"
"1570859143-3684","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/john-brennan-cia-us-corrupt-trump_n_5d9a6309e4b0fc935edc4e27","John Brennan: CIA Would Call U.S. ‘Very Corrupt’ If It Were Another Country","“It’s no longer a democracy if an autocrat has it in his hands,” the former CIA director warned.","Amy Russo","","10/06/2019 07:21 pm ET"
"1570859372-4904","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/elizabeth-warren-fired_n_5d9e2feae4b06ddfc512dfff","People Get Fired From Their Jobs Without Being ‘Fired’ All The Time","Yes, this sort of discrimination happened in the 1970s, when Elizabeth Warren was a teacher. But it still happens today.","","“So even today, it is very common that women experience termination when their employer learns of pregnancy. And sometimes, surprisingly, it’s fairly obvious. Other times it’s not,” she said. “Most employers know better than to say, ‘Because you’re pregnant, we’re firing you.’”","10/09/2019 03:58 pm ET"
"1570859303-4499","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-biden-big-lie_n_5d9cf04ee4b06ddfc50fdff9","Habitually Dishonest Trump Pushes His Biggest Lie Yet About The Democrat He Fears Most","Trump’s accusations against Joe Biden turn reality on its head. Biden’s Ukraine efforts were more likely to hurt his son’s company, not help it.","","“Donald Trump is so terrified of facing off against Joe Biden in 2020 that he committed an unprecedented abuse of power and threw his presidency into free fall by trying to force Ukraine to spread a universally debunked, right-wing conspiracy theory about him,” said Andrew Bates, a spokesman for Biden’s presidential campaign. “Now he’s melting-down on television and publicly begging other foreign countries to bail his flailing campaign out with lies.”","10/08/2019 06:48 pm ET"
"1570859179-3888","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/reactions-to-trumps-syria-kurds-turkey-decision_n_5d9b36f6e4b0fc935eddb9c9","Republicans, Foreign Policy Experts Condemn Trump’s Decision To Abandon Kurds","Sen. Lindsey Graham of South Carolina called it “a stain on America’s honor.”","","Sen. Lindsey Graham (R-S.C.), a frequent cheerleader of the president, split with Trump on his Syria decision, calling it “shortsighted” and “irresponsible” during a phone interview with “Fox & Friends” on Monday.","10/07/2019 10:34 am ET"
"1570859220-4114","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/conflict-of-interest-donald-trump-syria-kurds-turkey_n_5d9bb7bfe4b0fc935edf5be0","Trump On Turkey: ‘I Have A Little Conflict Of Interest ... It’s Called Trump Towers’","The president, in his own words in 2015, zeroes in on a problem linked to his order to abandon Kurdish allies to a Turkish assault in Syria.","","As even Republican lawmakers and foreign policy experts reel over Donald Trump’s unilateral decision to abandon Kurdish allies to an assault from Turkey in Syria, the president himself apparently has an explanation: “I have a little conflict of interest” concerning Turkey.","10/07/2019 07:52 pm ET"
"1570859477-5457","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/house-subpoenas-rick-perry_n_5d9f9226e4b06ddfc5165763","Rick Perry Subpoenaed In House’s Trump Impeachment Probe","The energy secretary is the latest person in President Donald Trump’s orbit to face demands for documents.","","“Recently, public reports have raised questions about any role you may have played in conveying or reinforcing the President’s stark message to the Ukrainian President,” the chairmen of the House Intelligence, Foreign Affairs and Oversight and Reform committees wrote.","10/10/2019 04:29 pm ET"
"1570858997-2984","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-ukraine-whistleblower-complaint-republicans_n_5d9628e2e4b02911e1178599","The Impeachment Story Is Simple. Republicans Are Trying To Confuse You.","GOP leaders desperately want to lose you in the arcana of process and take attention away from what the president did.","","GOP senators, meanwhile, have been spreading misinformation to try to smear the credibility of the whistleblower. They have argued that in order to be considered a “real” whistleblower, you have to have firsthand information of a situation, which is false.","10/03/2019 02:13 pm ET"
"1570859249-4268","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-blocks-gordon-sondland_n_5d9c7e87e4b03b475fa0074a","Witness In Trump-Ukraine Scandal Ordered Not To Appear Before Congress","The State Department blocked Gordon Sondland, U.S. ambassador to the European Union, from testifying before a House impeachment panel.","","Schiff added that Sondland had “deeply relevant” text messages on a personal device that he provided to the State Department, which then refused to hand them over to Congress.","10/08/2019 08:26 am ET"
"1570859546-5816","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-impeachment-inquiry-constitution-above-the-law_n_5da06a90e4b06ddfc5187998","Trump vs. The Constitution: In Impeachment Inquiry, Trump Insists He’s Above The Law","Faced with an impeachment inquiry, President Donald Trump has openly defied the core constructs of the Constitution.","","Since taking office, he has taken repeatedly taken unilateral action to defy Congress and push the limits of his own power, declaring a national emergency so he could divert funds for a border wall and taking executive action to try to halt immigration from several Muslim-majority nations.","10/11/2019 07:54 am ET"
"1570858984-2918","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/rudy-giuliani-paul-manafort-ukraine-theory_n_5d95a3cbe4b0f5bf796f7054","Giuliani Reportedly Contacted Imprisoned Manafort To Bolster Ukraine Conspiracy Theory","The president’s attorney has been peddling a baseless claim that Ukraine colluded with Hillary Clinton and others to undermine Donald Trump in 2016.","","“These documents ... reinforce concern that the President and his allies sought to use the machinery of the State Department to further the President’s personal political interests,” the three committee chairs wrote.","10/03/2019 07:08 am ET"
"1570859372-4891","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/elizabeth-warren-fired_n_5d9e2feae4b06ddfc512dfff","People Get Fired From Their Jobs Without Being ‘Fired’ All The Time","Yes, this sort of discrimination happened in the 1970s, when Elizabeth Warren was a teacher. But it still happens today.","","Employers now, just as they could then, can make workplaces so inhospitable for an employee that they essentially have no choice but to resign on their own or start looking for another job. It’s still discrimination; it’s known as “constructive discharge” and can be considered the same as termination.","10/09/2019 03:58 pm ET"
"1570859583-6034","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/sean-newaldass-kamala-harris-affair-actor_n_5da101c8e4b087efdbae5b79","Man Who Claimed To Be Kamala Harris’ Lover Now Says It Was All Fake","Sean Newaldass said he thought the California senator was fictional, but now he plans to vote for her.","","Oh, and he claims now that he thought Harris was a fictional person, according to an exclusive interview with the Daily Beast.","10/11/2019 07:55 pm ET"
"1570858997-2971","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-ukraine-whistleblower-complaint-republicans_n_5d9628e2e4b02911e1178599","The Impeachment Story Is Simple. Republicans Are Trying To Confuse You.","GOP leaders desperately want to lose you in the arcana of process and take attention away from what the president did.","","“Democrats have rigged this process from the start,” McCarthy tweeted Wednesday, linking to the Times story.","10/03/2019 02:13 pm ET"
"1570859358-4818","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/joe-biden-donald-trump-impeach_n_5d9e1d3ce4b087efdba723a1","Joe Biden Calls For President Trump To Be Impeached","“Donald Trump has violated his oath of office, betrayed this nation and committed impeachable acts,” the 2020 Democrat said in New Hampshire Wednesday.","Ryan Grenoble","","10/09/2019 01:57 pm ET"
"1570859143-3688","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/john-brennan-cia-us-corrupt-trump_n_5d9a6309e4b0fc935edc4e27","John Brennan: CIA Would Call U.S. ‘Very Corrupt’ If It Were Another Country","“It’s no longer a democracy if an autocrat has it in his hands,” the former CIA director warned.","","Prior to Brennan’s interview, Todd spoke with Sen. Ron Johnson (R-Wisc.), who stonewalled his questions and launched into a conspiracy-laden defense of the president in which he took aim at Brennan, who is a frequent critic of Trump.","10/06/2019 07:21 pm ET"
"1570859186-3961","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/cory-booker-voters-2020-election_n_5d76acafe4b0752102312854","Cory Booker Wants To Be More Than Every Voter’s 3rd Choice","The New Jersey senator, once the king of the political stunt, just pulled one off to save his 2020 presidential campaign. But can he do more?","","Booker’s annoyance, at times, can seem a little convenient. He entered the race under fire from the left because of his support for charter schools, his past embrace of technology companies and his ties to his home state’s powerful pharmaceutical industry. But it’s the newer debates that seem to get under his skin. He bristles when he thinks progressives are getting ahead of the country, and complicating both campaigning and governance. Questions about whether prisoners should be allowed to vote annoy him, he has said, because the focus should be on getting people out of prison in the first place.","10/07/2019 02:47 pm ET"
"1570859565-5940","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/william-perry-pendley-climate_n_5da0bcffe4b087efdbaddc0b","U.S. Public Lands Chief Says His Positions On Climate, Immigrants Don’t Matter","Bureau of Land Management acting director William Perry Pendley repeatedly dodged questions at an environmental journalism conference.","","The room, as moderators requested, refrained from clapping or booing throughout the panel, which included a gas company executive, the Fort Collins mayor, an American Indian studies academic, an environmentalist and a representative of the outdoor recreation industry. But at one point, the audience in the packed auditorium at Colorado State University gasped as Pendley abruptly interrupted a Denver Post reporter as she asked a follow-up question, saying, “You want to ask a question and get an answer or do you want to keep talking?”","10/11/2019 02:36 pm ET"
"1570859402-5120","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/women-trump-minnesota-meeting_n_5d9e7b88e4b06ddfc51353eb","On A Train Wreck Day For Trump, ‘Women For Trump’ Tries To Spin An Alternative World","Second Lady Karen Pence came to the Twin Cities ahead of Trump with a softer sell than the president is likely to use at a Thursday rally.","","ST. PAUL, Minn. ― President Donald Trump’s Wednesday featured explanations for his failure to protect Kurdish allies in Syria, new questions about an impeachment inquiry centered on his dealings with Ukraine and, to cap it off, fresh accusations of sexual misconduct.","10/09/2019 09:52 pm ET"
