web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,content,date
"1570859387-5040","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-wife-diplomat-british-teen-car-accident_n_5d9e4565e4b087efdba76c3c","Trump Defends Wife Of U.S. Diplomat Suspected In Death Of British Teen","The president appeared to say he has also driven on the wrong side of the road in a foreign country.","","Trump ventured that “frankly a lot of Americans feel the same way” about the situation and want to help the Dunn family heal. He did not address the status of Sacoolas’ diplomatic immunity.","10/09/2019 06:38 pm ET"
"1570859512-5609","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/mississippi-attorney-general-governor-race-jim-crow-rule_n_5d9f98a4e4b087efdbaaeadd","Mississippi Is About To Have An Election Under Jim Crow","State lawmakers could choose the next governor because of a little-noticed 1890 provision designed to disenfranchise Black voters.","","“They focused on coming up with a particular means by which to achieve the goal of white supremacy without violating any federal constitutional safeguards. No other state had attempted that,” said John Winkle III, a professor emeritus of political science at the University of Mississippi. “That’s the way the law was set in 1890, and it was clearly the product of the white supremacy overtones of the entire constitution itself.”","10/10/2019 06:09 pm ET"
"1570859512-5610","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/mississippi-attorney-general-governor-race-jim-crow-rule_n_5d9f98a4e4b087efdbaaeadd","Mississippi Is About To Have An Election Under Jim Crow","State lawmakers could choose the next governor because of a little-noticed 1890 provision designed to disenfranchise Black voters.","","Over time, the federal courts and government got rid of poll taxes and literacy tests. But in Mississippi, the special conditions to win statewide office remained.","10/10/2019 06:09 pm ET"
"1570859133-3641","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/jim-jordan-trump-not-serious-about-china-investigation-into-joe-biden_n_5d9a1509e4b0fc935edbe746","Jim Jordan Doesn’t ‘Think’ Trump Did Something He Actually Did On Camera","The GOP congressman repeatedly claimed that the president wasn’t serious when he said China should investigate Joe Biden.","","“Because I don’t think that’s what he did,” Jordan said. “I don’t think that’s what he did.”","10/06/2019 02:07 pm ET"
"1570859498-5556","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/watergate-prosecutors-trump-impeachment-nixon_n_5d9fa4dae4b02c9da047328c","Former Watergate Prosecutors Say Trump Should Be Impeached","The group drew clear parallels between the current president and Richard Nixon in a Washington Post op-ed.","","The members of the Watergate team also pointed to text messages released by the chairs of three House committees last week that appear to show Trump administration officials pressuring a Ukrainian official for political favors in exchange for cooperation from the U.S. government.","10/10/2019 09:01 pm ET"
"1570859292-4451","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/warren-teachers-fired-pregnancy_n_5d9ca7b4e4b03b475fa08b78","Elizabeth Warren Is Right. In The 1970s, Pregnant Teachers Didn’t Keep Their Jobs.","Back then, teaching was the national model for discriminating against pregnant workers and getting away with it.","","The Washington Free Beacon, a conservative outlet, cast doubt by noting that Warren had once described her exit differently: “[I] said, ‘I don’t think this is going to work out for me.’ I was pregnant with my first baby, so I had a baby and stayed home for a couple of years,” she said in a 2007 interview. (Warren told CBS that she wasn’t comfortable opening up about the discrimination aspect until recently.)","10/08/2019 05:52 pm ET"
"1570859154-3760","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-allies-ukraine-gas-firm_n_5d9a7c11e4b0993898020e60","Trump Allies Pressed Ukraine Over Gas Firm","The affair shows how those with ties to Trump and his administration were pursuing business deals in Ukraine that went far beyond advancing the president’s personal political interests.","","“The ambassador to Ukraine was replaced,” he said. “I did play a role in that.”","10/06/2019 07:50 pm ET"
"1570859312-4575","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/white-house-accuses-democrats-impeachment-overturn-election_n_5d9cfd31e4b02c9da0406582","White House Refuses To Cooperate With Impeachment Inquiry; Constitutional Crisis Looms","An eight-page letter to House leaders, including Speaker Nancy Pelosi, said that the White House will not cooperate with the inquiry into President Trump’s actions.","","Republicans have thus far stood by Trump and moved to minimize the fallout from the call. GOP lawmakers who have fallen out of lockstep have been immediately castigated by their party.","10/08/2019 05:36 pm ET"
"1570859539-5751","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/betty-mccollum-minnesota-israeli-palestinian_n_5d926349e4b0e9e760514c1f","The Minnesota Congresswoman Who Can Criticize Israel","St. Paul’s Betty McCollum is radically progressive on U.S. policy toward Israel. Why don’t you ever hear about it?","","“It’s the obvious bill that still won’t get passed,” said Jaylani Hussein, head of the Minnesota chapter of the Council on American-Islamic Relations.","10/11/2019 05:45 am ET"
"1570859154-3771","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-allies-ukraine-gas-firm_n_5d9a7c11e4b0993898020e60","Trump Allies Pressed Ukraine Over Gas Firm","The affair shows how those with ties to Trump and his administration were pursuing business deals in Ukraine that went far beyond advancing the president’s personal political interests.","","Gordon D. Sondland, the U.S. ambassador to the European Union, and Kurt D. Volker, then the State Department’s special envoy to Ukraine, were also in the room, according to photographs reviewed by AP. The person, who spoke on condition of anonymity due to fear of retaliation, said he was floored by the American requests because the person had always viewed the U.S. government “as having a higher ethical standard.”","10/06/2019 07:50 pm ET"
"1570858924-2583","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-admits-he-halted-aid-to-ukraine-to-fight-corruption_n_5d8a2971e4b0c2a85cb1ac09","Trump Claims He Halted Aid To Ukraine To Fight ‘Corruption’","The president confirmed to reporters at the United Nations that he froze millions of dollars in aid and called for other European nations to “put up money.”","","Pelosi and her leadership team on the various oversight committees are considering bringing forward a resolution that will put the House on the record on this matter, according to a Democratic leadership aide unauthorized to discuss the private talks. The aide was granted anonymity.","09/24/2019 10:41 am ET"
"1570859480-5474","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/epa-drinking-water_n_5d9f8db8e4b087efdbaac243","Lead Pipes Are Safe From The EPA’s New Drinking Water Rule","The regulation that was too weak to stop the Flint water crisis is getting some mild improvements — but lead pipes can stay.","","But digging up lead pipes is expensive. Flint has only done so thanks partly to a $100 million infusion from the federal government in the wake of the crisis.","10/10/2019 06:04 pm ET"
"1570859129-3620","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/chris-wallace-chris-stewart-whistleblower_n_5d9a09afe4b03b475f9b0dbc","Republican On House Intelligence Committee: ‘Why Should I Care’ About 2nd Whistleblower?","“It does not matter,” Rep. Chris Stewart said about a second whistleblower coming forward with information on Trump’s Ukraine call.","","Rep. Chris Stewart (R-Utah), a member of one of the three House committees investigating President Donald Trump’s dealings with Ukraine, said he’s “not at all” concerned that a second whistleblower has come forward.","10/06/2019 12:54 pm ET"
"1570859051-3302","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/larouche-pac-ocasio-cortez-baby-eating_n_5d9753c8e4b0f5bf79739966","Pro-Trump Group Takes Credit For Video About Eating Babies At AOC Town Hall","“It was us,” LaRouche PAC said on Twitter. “Malthusianism isn’t new, Jonathan Swift knew that. Sometimes, only satire works.”","","“I’m so happy that you are really supporting a Green New Deal, but it’s not enough,” the unidentified woman told Ocasio-Cortez and the packed room. “Even if we were to bomb Russia, we still have too many people, too much pollution. So we have to get rid of the babies. That’s a big problem. Just stopping having babies is not enough. We need to eat the babies.”","10/04/2019 11:24 am ET"
"1570859429-5268","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/white-house-aides-avoid-media-amid-impeachment-storm_n_5d9f1ba4e4b06ddfc514a27c","White House Aides Avoid Media Amid Impeachment Storm","It’s a well-worn strategy: Senior officials conveniently manage to be elsewhere when major controversies engulf the White House.","","“At all times we take our lead from the White House,” he said. “The president is our boss, and we are an extension of him. We make all of our decisions accordingly.”","10/10/2019 08:00 am ET"
"1570859096-3485","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/marco-rubio-china-donald-trump-biden-investigation-joke_n_5d9807ece4b0fc935eda4a45","What, Me Worry? Marco Rubio Shrugs Off Trump’s Call For China To Probe Biden As Joke","“Rubio, thy name is cowardice,” George Takei responds on Twitter.","","Sen. Marco Rubio (R-Fla.) appeared so very unconcerned Friday about Donald Trump calling on China to investigate his political rival Joe Biden that he had a difficult time presenting a coherent defense.","10/05/2019 12:08 am ET"
"1570859281-4401","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/labor-department-restaurant-servers-minimum-wage_n_5d9cc8b5e4b02c9da03fc583","The Trump Administration Wants Restaurant Servers To Do More Work For Less Pay","The Labor Department acknowledges in an analysis that its new proposal on tipped workers might accomplish just that.","","The 80-20 rule is just the sort of regulation that employer groups and the Trump administration would hate, since it requires restaurants and other tipped businesses to keep track of the work employees are doing to avoid lawsuits.","10/08/2019 02:48 pm ET"
"1570859099-3496","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/escalating-impeachment-inquiry-rattles-state-department_n_5d988a32e4b03b475f99cf05","Escalating Impeachment Inquiry Rattles State Department","The department is reeling from daily revelations in the impeachment inquiry into President Donald Trump, according to former senior officials.","","In the call, the president also disparaged the former U.S. ambassador to Ukraine, who was removed from her post in May amid a campaign coordinated by Trump lawyer Rudy Giuliani.","10/05/2019 08:24 am ET"
"1570859426-5244","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/karen-pence-donald-trump-women_n_5d9ed188e4b087efdba8232b","Karen Pence Praises Donald Trump’s Treatment Of Young Women And It Doesn’t Go Well","“I think Mother might be lying for a man who bragged about grabbing women’s genitals for partisan reasons...,” one person fired back on Twitter.","",".@KarenPence: Are you ok? https://t.co/9migwyUor9","10/10/2019 04:33 am ET"
"1570859099-3507","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/escalating-impeachment-inquiry-rattles-state-department_n_5d988a32e4b03b475f99cf05","Escalating Impeachment Inquiry Rattles State Department","The department is reeling from daily revelations in the impeachment inquiry into President Donald Trump, according to former senior officials.","","Conley, now a program director at the Center for Strategic and International Studies, said the State Department had settled down a bit under Pompeo following the chaotic early part of the administration under former Secretary of State Rex Tillerson.","10/05/2019 08:24 am ET"
"1570859064-3362","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/house-pence-ukraine-documents_n_5d97a097e4b03b475f99002d","House Asks Mike Pence For Ukraine-Related Documents","The request is part of the chamber’s ongoing impeachment inquiry.","","Pence spokeswoman Katie Waldman said in a statement that the letter “does not appear to be a serious request” but “[g]iven the scope, just another attempt by the Do Nothing Democrats to call attention to their partisan agenda.”","10/04/2019 03:53 pm ET"
"1570859565-5933","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/william-perry-pendley-climate_n_5da0bcffe4b087efdbaddc0b","U.S. Public Lands Chief Says His Positions On Climate, Immigrants Don’t Matter","Bureau of Land Management acting director William Perry Pendley repeatedly dodged questions at an environmental journalism conference.","","“I’m not a scientist, I’m a lawyer,” Pendley said. “I defer to the secretary. He’s been very clear on this subject. He believes that climate change is real, that mankind has an impact, that we’re unable to project future climate conditions, but that we need to understand the consequences.”","10/11/2019 02:36 pm ET"
"1570859329-4643","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/hillary-clinton-taunts-donald-trump-obsessed_n_5d9d8ab8e4b02c9da0410f57","Hillary Clinton Taunts ‘Obsessed’ Donald Trump: ‘Obviously, I Can Beat Him Again’","“Maybe there does need to be a rematch.”","","“Nothing has been more examined and looked at than my emails, we all know that. So, he’s either lying or delusional, or both,” she continued. “There was no subpoena as he says in a tweet this morning, so, maybe there does need to be a rematch. I mean, obviously, I can beat him again.”","10/09/2019 03:48 am ET"
"1570859138-3679","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/democratic-candidates-demand-answers-in-botham-jean-witness-death_n_5d9a4528e4b0fc935edc235d","2020 Democrats Demand Answers In Botham Jean Witness Death: ‘Horrific’","Joshua Brown, a key witness in the trial of ex-Dallas police officer Amber Guyger, was shot dead on Friday.","","Jean’s death sparked outrage as yet another example of lethal use of force by law enforcement on a person of color.","10/06/2019 05:12 pm ET"
"1570859194-4005","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-touts-wisdom-turkey-tweet_n_5d9b6895e4b0993898040c9a","Twitter Users Drag Trump For Touting His ‘Great And Unmatched Wisdom’","“Didn’t the Wizard of Oz speak of his ‘great and unmatched wisdom’ or something like that?” one person wondered.","","Didn’t the Wizard of Oz speak of his “great and unmatched wisdom” or something like that? pic.twitter.com/tbuiw7rVI0","10/07/2019 01:46 pm ET"
"1570859475-5451","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/hr-mcmaster-trump-foreign-interference_n_5d9fa15ee4b087efdbab1597","Ex-Trump Adviser Says It’s Inappropriate For President To Seek Foreign Political Interference","Former national security adviser H.R. McMaster denounced foreign interference in U.S. politics but said he saw no such thing while in the White House.","","John Bolton replaced McMaster as the White House’s national security adviser in April 2018 after reports suggested that the chief of staff John Kelly and Secretary of Defense Jim Mattis, both of whom have since resigned from their positions, were preparing to move McMaster out of his post.","10/10/2019 06:38 pm ET"
"1570859164-3807","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/donald-trump-skripal-nerve-agent-poisoning-putin-russian-embassy_n_5d9a9cb4e4b0fc935edc755a","Russian Embassy Boasts Of Trump’s Reported Dismissal Of Moscow Role In UK Poisoning","Russia’s embassy in the U.K. said the report that Trump doubted Kremlin involvement in a nerve agent attack on an ex-Russian spy was “the best evidence.”","","The tweet boasted that Trump’s doubt about a plot to poison a former Russian spy and his daughter was the “best evidence that no evidence of Russian involvement exists.”","10/07/2019 07:30 am ET"
"1570859480-5475","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/epa-drinking-water_n_5d9f8db8e4b087efdbaac243","Lead Pipes Are Safe From The EPA’s New Drinking Water Rule","The regulation that was too weak to stop the Flint water crisis is getting some mild improvements — but lead pipes can stay.","","In a draft of its proposed regulation, the EPA said that “due to the financial and practical challenges of wide-spread replacement of lead pipes around the country, it is important to use our nation’s resources wisely, and thus target actions where they are most needed and can provide the most good.”","10/10/2019 06:04 pm ET"
"1570859138-3672","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/democratic-candidates-demand-answers-in-botham-jean-witness-death_n_5d9a4528e4b0fc935edc235d","2020 Democrats Demand Answers In Botham Jean Witness Death: ‘Horrific’","Joshua Brown, a key witness in the trial of ex-Dallas police officer Amber Guyger, was shot dead on Friday.","","Now, politicians want to know what happened to Brown.","10/06/2019 05:12 pm ET"
"1570859405-5136","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/christians-trump-impeachment-national-day-prayer_n_5d9deb37e4b087efdba63450","Christians Plan National Day Of Prayer To Support Trump Impeachment Inquiry","Progressive Christians across the country are asking Congress to shed the “light of truth” on Trump.","Carol Kuruvilla","","10/09/2019 09:05 pm ET"
"1570859018-3115","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/general-motors-strike-long-haul_n_5d964f10e4b02911e117de9f","GM Strikers Settle In For The Long Haul","As the autoworkers’ strike grinds through its third week, workers say they’ll stay on the picket lines for as long as it takes.","","“They wanted animosity down the road,” Sippos said, standing by the bonfire. “They wanted us to be fighting each other.”","10/03/2019 07:20 pm ET"
"1570859067-3378","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/elizabeth-warren-2020-california_n_5d975434e4b0f5bf79739c81","Surging In The Polls, Elizabeth Warren Sets Her Sights On California’s Primary","The Massachusetts senator is picking up steam in the Golden State as home-state Sen. Kamala Harris’ polling numbers tumble.","","The true contours of the Democratic battle will emerge in February when the narrative-driving nominating contests in Iowa, New Hampshire, Nevada and South Carolina take place. But right around the corner comes primaries in 14 states on March 3, Super Tuesday. And California is the day’s dominant contest, with 416 convention delegates allotted.","10/04/2019 05:20 pm ET"
"1570859186-3922","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/cory-booker-voters-2020-election_n_5d76acafe4b0752102312854","Cory Booker Wants To Be More Than Every Voter’s 3rd Choice","The New Jersey senator, once the king of the political stunt, just pulled one off to save his 2020 presidential campaign. But can he do more?","","But “when I became a senator, my first year, I wouldn’t do interviews, I didn’t talk in caucus,” he continues. “I didn’t need to draw attention to myself as a United States senator. What I wanted to do was to pass criminal justice reform, work across the aisle.”","10/07/2019 02:47 pm ET"
"1570859534-5702","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-ilhan-omar-disgrace_n_5d9fdec4e4b06ddfc51730a2","Trump Rips Rep. Ilhan Omar As ‘Fraud’ And ‘Disgrace’ During Rally In Her District","President Donald Trump ranted against the Minnesota Democrat and vowed to prevent more Somalian refugees from entering the U.S.","","“How the hell did that ever happen,” Trump said of Omar’s election to Congress in 2016. “How do you have such a person representing you in Minnesota?”","10/10/2019 11:02 pm ET"
"1570859331-4657","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/elizabeth-warren-environment-climate-justice-plan_n_5d9d02f1e4b06ddfc50ffb77","Elizabeth Warren’s Climate Justice Plan Aims To Keep Water Public, Study Pollution More","The Democratic presidential hopeful is adopting much of what former candidate Jay Inslee put out.","","The private water industry serves 73 million Americans, according to National Association of Water Companies data. For-profit water services put public health at risk, a 66-page paper by University of Louisville law professor Craig Anthony Arnold argues, because the profit motive incentivizes companies to provide better services to customers who pay more and to maintain infrastructure with an eye to the length of the firm’s contract. Detroit’s debt-choked public utility threatened to shut off water to nearly 17,500 households that were behind on bills last year, only to decrease the shutoff rate 70% this year. In the timing of the 2018 shutoffs, just as the city was looking to privatize its utility, the left-wing think tank Centre for Research on Globalization saw an effort to streamline a troubled facility before selling it off to profiteers.","10/09/2019 08:00 am ET"
"1570858951-2721","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/zelenskiy-trump-biden-whistleblower_n_5d86d32fe4b070d468cdc145","Ukraine Minister Denies Trump Pressured Zelenskiy During Call: Report","Ukraine’s foreign minister said Ukraine was an independent state and would not take sides in U.S. politics even if “in theory” the country was in a position to do so.","","In an interview with media outlet Hromadske, Prystaiko said Ukraine was an independent state and would not take sides in U.S. politics even if “in theory” the country was in a position to do so. He added that Kiev appreciated the assistance it received from Washington.","09/21/2019 09:55 pm ET"
"1570858969-2803","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-nixon-gop_n_5d952e08e4b0f5bf796efc8d","In The End, Nixon Walked Away For The Good Of His Party. Would Trump?","Top Republicans worry that if his status becomes dire, he’ll take the party down with him. Others worry he wouldn’t stop with just the party.","","“He’s rented the party for this entire ride,” said former Florida congressman (and former Republican) David Jolly. “I don’t think he would be compelled by an argument for the good of the party.”","10/02/2019 09:50 pm ET"
"1570859237-4203","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/bernie-sanders-campaign-heart-attack-2020-democratic-presidential-primary_n_5d9bda67e4b03b475f9ea78d","‘It Was Like A Rallying Cry’: Bernie Sanders Campaign Surges Ahead After Heart Attack","The Vermont senator’s presidential campaign and top supporters say they are buoyed by a wave of support following the 78-year-old’s hospitalization.","","The spot, which featured some of the do-it-yourself charm of the 2016 campaign, earned plaudits from prominent Democrats who are not supporting Sanders but are nonetheless sympathetic to claims of media bias against him. In just a few days, the video racked up over 6.3 million views on Twitter alone ― far more than Sanders’ first official campaign ad, which came out days earlier.","10/08/2019 05:45 am ET"
"1570859116-3576","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/eric-ivanka-donald-trump-jr-joe-biden-conflicts-white-house-trump-organization_n_5d992e0de4b099389800d63a","Ex Bush Aide Says ‘Bivalves’ Have More Self-Awareness Than Trump Kids On Shady Deals","Eric and Donald Trump Jr. seem to be lobbing at Hunter Biden from a glass house, and don’t even know it.","","Just weeks earlier the Air Force launched an investigation into personnel spending tens of thousands of dollars at Trump Organization’s Turnberry golf resort in Scotland during refueling layovers at newly favored nearby Prestwick airport.","10/05/2019 11:57 pm ET"
"1570858976-2865","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/rudy-giuliani-gave-documents-state-department-ig-congress_n_5d955e85e4b0da7f6621579a","Rudy Giuliani: I Provided Documents State Department Watchdog Gave To Congress","Trump’s attorney told CNN he had “routed” an “outline” of allegations to Mike Pompeo, who told him they would “investigate it.”","","“They told me they were going to investigate it,” Giuliani told CNN.","10/03/2019 12:59 am ET"
"1570859090-3470","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/donald-trump-traitor-anthony-scaramucci-cnn_n_5d97d8dae4b0fc935eda2dd3","‘The President Is A Traitor,’ Declares Former Pal Anthony Scaramucci","“I hear rank criminality. I hear pressure on diplomats coming from above to do things that are actually a revocation of the Constitution,” the former aide says.","","Trump has responded to the House impeachment inquiry, triggered by the revelation of his July 25 phone call pressing Ukraine’s president to investigate political rival Joe Biden, like “somebody who doesn’t have any principles or any morals,” Scaramucci said.","10/04/2019 08:51 pm ET"
"1570859080-3430","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/house-subpoena-white-house-ukraine-documents_n_5d97c733e4b0993897ffd947","House Subpoenas White House For Ukraine Documents In Impeachment Inquiry","The House Oversight Committee is demanding President Donald Trump’s staff hand over documents related to the Ukraine scandal by Oct. 18.","","“The White House has refused to engage with ― or even respond to ― multiple requests for documents from our Committees on a voluntary basis,” the subpoena read. “After nearly a month of stonewalling, it appears clear that the President has chosen the path of defiance, obstruction, and cover-up.”","10/04/2019 06:35 pm ET"
"1570859417-5191","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/susan-rice-donald-trump-syria-blood-hands_n_5d9ed2b6e4b06ddfc513b4f5","Susan Rice Slams Donald Trump Over Syria: ‘Blood Is Going To Be’ On His Hands","“We’ve crossed a rubicon here [...] that I think is going to haunt us for decades to come,” said the Obama-era national security adviser.","","“As somebody wrote in a very powerful article today, they didn’t help us in the second World War, they didn’t help us with Normandy for example,” Trump said earlier in the day of the Kurds, who fought alongside American troops against the so-called Islamic State. “They’re there to help us with their land, and that’s a different thing.”","10/10/2019 03:20 am ET"
"1570859157-3791","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/court-ruling-preserve-trump-interactions-with-foreign-leaders_n_5d9a7b06e4b03b475f9b8cf2","White House Ordered Not To Destroy Records Of Trump’s Interactions With Foreign Leaders","Judge Amy Berman Jackson also demanded preservation of all records of officials attempting to “return, ‘claw back,’ ‘lock down’ or recall” information.","","The judge also ordered the preservation of “all records of efforts by White House or other executive branch officials to “return, ‘claw back,’ ‘lock down’ or recall White House records.”","10/06/2019 09:43 pm ET"
"1570859255-4310","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/customs-border-protection-commissioner-mark-morgan-harassment-of-journalists-unacceptable_n_5d9cba08e4b02c9da03f9e8e","Acting CBP Commissioner: Harassment Of Journalists By Agents Is ‘Unacceptable’","The condemnation comes just days after a passport screening official allegedly asked a reporter four times if he writes “propaganda.”","","Watson said that after identifying himself as a journalist, the official asked four times, “You write propaganda, right?”","10/08/2019 04:33 pm ET"
"1570859457-5392","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-attacks-fox-news-impeachment-poll_n_5d9f2f32e4b02c9da045814d","Trump Escalates Attacks On Fox News After Impeachment Poll","The network released a poll showing 51% of registered voters favor impeachment proceedings against him.","Marina Fang","","10/10/2019 10:29 am ET"
"1570859249-4280","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-blocks-gordon-sondland_n_5d9c7e87e4b03b475fa0074a","Witness In Trump-Ukraine Scandal Ordered Not To Appear Before Congress","The State Department blocked Gordon Sondland, U.S. ambassador to the European Union, from testifying before a House impeachment panel.","","This article has been updated to include House committee plans to subpoena Sondland and details of texts involving Sondland.","10/08/2019 08:26 am ET"
"1570858980-2891","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-tries-to-make-nickelback-great-again-in-doctored-clip-attacking-joe-biden_n_5d954f95e4b0da7f66214441","Trump Just Politicized Nickelback And People Think We’ve Entered Another Universe","Trump shared a doctored Nickelback video to mock Biden. The video was later pulled for copyright infringement.","","I have long warned you all about Nickelback, and I am now vindicated.","10/03/2019 02:14 am ET"
"1570858972-2854","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/toxic-chemical-fumes-vaping-illnesses_n_5d954d3ae4b0f5bf796f1627","Toxic Chemical Fumes May Be Behind Vaping Illnesses, Researchers Say","“This is a public health crisis,” a lead researcher behind the Mayo Clinic study said.","","“This is a public health crisis, and a lot of people are working frantically around the clock to find out what the culprit or culprits could be — and what chemicals may be responsible,” Larsen said in a statement. “Everyone should recognize that vaping is not without potential risks, including life-threatening risks, and I think our research supports that.”","10/02/2019 11:48 pm ET"
"1570859440-5331","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/john-shimkus-trump-syria-kurds_n_5d9f70d0e4b087efdbaa8ec3","GOP Rep. John Shimkus Slams Trump Over Syria Withdrawal","“Pull my name off the ‘I support Donald Trump’ list,” Shimkus said.","","This has “shocked, embarrassed and angered me,” he said. “It’s terrible. It’s despicable. I don’t have enough words... I’m embarrassed by it and I’m saddened for the Kurdish people.”","10/10/2019 03:45 pm ET"
"1570859463-5426","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/mike-pence-ukraine-joe-biden-investigation-trump_n_5d9f6785e4b087efdbaa7a90","Mike Pence Won’t Say If He Knew Ukraine Aid Was Tied To Biden Probe","The vice president dodged the question four times in a row. Not a good look, man!","","It is illegal for anyone, including the president of the United States, to solicit anything of value from a foreign national that relates to a U.S. election. Federal Elections Chair Ellen Weintraub recently reiterated this point on Twitter.","10/10/2019 03:12 pm ET"
"1570859015-3085","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-impeachment-polling_n_5d965fc8e4b02911e11801db","New Polling Makes It Clear: Support For Impeachment Is Up","What remains to be seen is whether that momentum will continue.","","Democratic backing for impeachment is increasingly verging on the universal, with most polls finding three-quarters or more in support. In the most recent Quinnipiac survey, 90% of Democratic voters said Trump “should be impeached and removed from office,” and 95% favored the Democrats’ impeachment inquiry. If support for impeachment is to continue to grow much further, it’ll also need to make inroads beyond just the party ― a path that’s complicated by the already-polarized reactions to Trump’s conversation with the leader of Ukraine.","10/03/2019 06:01 pm ET"
"1570859507-5574","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/trump-us-government-conspiracy-theories_n_5d9fedb7e4b02c9da047c100","How Trump Used The U.S. Government To Chase Conspiracy Theories","The president has enlisted parts of the U.S. government and key allies in the pursuit of unproven or disproven conspiracy theories, some incubated in the dark corners of the internet.","","Another theory, endorsed by Trump, holds that the probe was actually an elaborate effort by U.S. officials and foreign spies to deny him the presidency.","10/10/2019 11:06 pm ET"
"1570859374-4942","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/gop-impeachment-fight-states_n_5d9e985ee4b02c9da043f812","GOP Taking Impeachment Fight From Washington To The States","The party has drawn up a list of more than 60 target races, aiming to make impeachment a central theme.","","___","10/09/2019 10:48 pm ET"
"1570858961-2758","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/ben-carson-transphobic-homeless-women_n_5d840c08e4b0957256b3fccc","Ben Carson Defends Transphobic Remarks, Accuses Media Of ‘Mischaracterizations’","He raised concern over “big, hairy men” infiltrating women’s homeless shelters, The Washington Post reported.","","There were reportedly 50 people present at the meeting, one of whom walked out in protest of Carson’s comments and drew applause from others.","09/21/2019 11:12 am ET"
"1570859495-5540","https://www.huffpost.com/news/politics","","https://www.huffpost.com/entry/jacob-frey-love-trumps-hate-day-minneapolis_n_5d9fc03ce4b087efdbab8bbd","Minneapolis Mayor Declares ‘Love Trumps Hate Day’ Before President’s Rally","It’s the latest blast between Trump and Mayor Jacob Frey, who wants the Trump campaign to cover its costs to his city.","","The president’s campaign has developed a reputation for not reimbursing cities for security costs incurred as a result of his rallies — even as his campaign raises record amounts of money. At least 10 cities have complained that the campaign has not paid them for police and fire department costs, totaling more than $840,000, according to a study this summer by the Center for Public Integrity.","10/10/2019 09:56 pm ET"
