web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1571533313-15753","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=1","Breitbart News Network","https://www.breitbart.com/","Breitbart","null","Breitbart London","null",""
"1571533313-15742","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=1","Breitbart News Network","https://www.breitbart.com/","Breitbart","null","AWR Hawkins","null",""
"1571533319-15795","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=1","Barbra Streisand Shares Photo of Nancy Pelosi Killing Trump","https://www.breitbart.com/entertainment/2019/10/19/barbra-streisand-shares-photo-of-nancy-pelosi-killing-trump/","Barbra Streisand Shares Photo of Nancy Pelosi Killing Trump","Left-wing actor and Grammy-winning singer Barbra Streisand posted a photo to Twitter early Saturday depicting a bloodied President Donald Trump being impaled by the heel of a shoe with the word “Pelosi” emblazoned on it.","","19 Oct 2019","Barbra Streisand often flirts with the idea of President Trump being removed from office. In July the Meet the Fockers star demanded that “climate deniers” be voted out, “starting with Trump.”"
"1571533247-15370","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=5","Iranian Dissidents Pen Letter to President-Elect Donald Trump ...","https://www.breitbart.com/national-security/2016/12/27/iranian-dissidents-letter-donald-trump/","Iranian Dissidents Pen Letter to President-Elect Donald Trump Seeking Closer Ties","Thirty members of the Iranian opposition, including human rights activists and former political prisoners, have penned an open letter to President-elect Donald Trump in which they’ve expressed their interest in meeting with America’s soon-to-be 45th president.","","27 Dec 2016","Reza Parchizadeh, a political theorist, analyst, and Iranian dissident, told Breitbart News exclusively that while he agreed the letter’s intent was good, he believed it could have been executed more efficiently and should have included a larger number of Iranian dissidents."
"1571533328-15808","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=1","Donald Trump Articles - Breitbart","https://www.breitbart.com/tag/donald-trump/","Donald Trump","null","Hannah Bleau","19 Oct 2019, 2:51 PM PDT",""
"1571533302-15690","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=2","Donald Trump: Let Syria and Turkey Play with Sand in the Middle East","https://www.breitbart.com/politics/2019/10/16/donald-trump-let-syria-and-turkey-play-with-sand-in-the-middle-east/","Donald Trump: Let Syria and Turkey Play with Sand in the Middle East","President Donald Trump distanced himself and the United States from the conflict between Syria and Turkey in the Middle East on Wednesday.","","16 Oct 2019","Despite Vice President Mike Pence and Secretary of State Mike Pompeo visiting Turkey on Thursday to urge President Recep Tayyip Erdoğan to halt his military offensive, Trump appeared indifferent."
"1571533265-15510","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=4","Leftists' D.C. 'Impeach Donald Trump' Protests a Bust","https://www.breitbart.com/politics/2019/09/09/lleftists-d-c-impeach-donald-trump-protests-a-bust/","Leftists’ D.C. ‘Impeach Donald Trump’ Protests a Bust","A website and eventbrite.com promoted rallies in Washington, DC, and other cities across the country to take place Monday to push for the impeachment of President Donald Trump – but no one showed up for the one at the Capitol.","","9 Sep 2019","The President, Vice President and all civil Officers of the United States, shall be removed from office on impeachment for, and conviction of, treason, bribery, or other high crimes and misdemeanors., The charge of “high crimes and misdemeanors” covers allegations of misconduct by officials, such as perjury of oath, abuse of authority, bribery, intimidation, misuse of assets, failure to supervise, dereliction of duty, unbecoming conduct, refusal to obey a lawful order, chronic intoxication, and tax evasion."
"1571533257-15420","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=4","Trump Moving 50 Troops Within Syria, Not Out of the Country","https://www.breitbart.com/politics/2019/10/07/white-house-clarifies-donald-trump-moving-50-troops-within-syria-not-out-of-the-country/","White House Clarifies: Donald Trump Moving 50 Troops Within Syria, Not Out of the Country","A Senior White House official clarified Monday that President Donald Trump was not immediately withdrawing troops from Syria, after Trump’s phone call with the Turkish president.","Charlie Spiering","7 Oct 2019",""
"1571533263-15499","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=4","Full Text: Donald Trump Commemorates the 75th Anniversary of D ...","https://www.breitbart.com/politics/2019/06/06/full-text-donald-trump-commemorates-the-75th-anniversary-of-d-day/","Full Text: Donald Trump Commemorates the 75th Anniversary of D-Day","President Donald Trump commemorated the 75th anniversary of D-Day on Thursday and delivered the following speech in honor of those “thousands [who] sacrificed their lives” for liberty:","","6 Jun 2019","The blood that they spilled, the tears that they shed, the lives that they gave, the sacrifice that they made, did not just win a battle. It did not just win a war. Those who fought here won a future for our nation. They won the survival of our civilization. And they showed us the way to love, cherish, and defend our way of life for many centuries to come."
"1571533265-15502","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=4","Leftists' D.C. 'Impeach Donald Trump' Protests a Bust","https://www.breitbart.com/politics/2019/09/09/lleftists-d-c-impeach-donald-trump-protests-a-bust/","Leftists’ D.C. ‘Impeach Donald Trump’ Protests a Bust","A website and eventbrite.com promoted rallies in Washington, DC, and other cities across the country to take place Monday to push for the impeachment of President Donald Trump – but no one showed up for the one at the Capitol.","Penny Starr","9 Sep 2019",""
"1571533317-15790","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=1","Donald Trump Nominates Dan Brouillette for Department of Energy","https://www.breitbart.com/politics/2019/10/19/donald-trump-nominates-dan-brouillette-replace-rick-perry-department-energy/","Donald Trump Nominates Dan Brouillette to Replace Rick Perry at Department of Energy","President Donald Trump announced Friday that he will select Deputy Secretary of Energy Dan Brouillette to replace Rick Perry as Secretary of Energy.","","19 Oct 2019",""
"1571533294-15652","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=2","Donald Trump Backs Down on Deportation Threat | Breitbart","https://www.breitbart.com/politics/2019/06/22/donald-trump-backs-down-on-deportation-threat/","Donald Trump Backs Down on Deportation Threat","President Donald Trump suspended Saturday his threat to deport millions of illegal immigrants, after previewing a renewed enforcement surge.","","22 Jun 2019",""
"1571533321-15805","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=1","Donald Trump Proposes Guarding Southern Border with the Military","https://www.breitbart.com/politics/2018/04/03/trump-proposes-guarding-southern-border-military/","Donald Trump Proposes Guarding Southern Border with the Military","President Donald Trump said he is currently having discussions in his administration to deploy military resources on the southern border.","","3 Apr 2018","The omnibus spending deal included less than $1.6 billion for border structures but an impressive $700 billion for the Pentagon in FY2018."
"1571533274-15552","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=3","Rihanna: Donald Trump 'Most Mentally Ill Human Being in America ...","https://www.breitbart.com/entertainment/2019/10/09/rihanna-donald-trump-most-mentally-ill-human-being-in-america-right-now/","Rihanna: Donald Trump ‘Most Mentally Ill Human Being in America Right Now’","Pop superstar Rihanna has suggested that President Donald Trump is the “most mentally ill human being in America right now,” adding that the president’s response to the mass shooting in El Paso in August was “racist.”","","9 Oct 2019","— Rihanna (@rihanna) November 5, 2018"
"1571533287-15638","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=3","Donald Trump: 'They're Coming After Me Because I'm Fighting for You'","https://www.breitbart.com/politics/2019/10/12/donald-trump-value-voters-theyre-coming-after-me-because-im-fighting-for-you/","Donald Trump to Value Voters: ‘They’re Coming After Me Because I’m Fighting for You’","President Donald Trump rallied supporters on Saturday during a speech to Value Voters, as the Democrat-led impeachment inquiry continued.","","12 Oct 2019","The president received a standing ovation when he reminded them that America stood for freedom of religion and the right to life."
"1571533263-15464","https://www.breitbart.com/search/?s=john+mccain#gsc.tab=0&gsc.q=donald%20trump&gsc.page=4","Full Text: Donald Trump Commemorates the 75th Anniversary of D ...","https://www.breitbart.com/politics/2019/06/06/full-text-donald-trump-commemorates-the-75th-anniversary-of-d-day/","Full Text: Donald Trump Commemorates the 75th Anniversary of D-Day","President Donald Trump commemorated the 75th anniversary of D-Day on Thursday and delivered the following speech in honor of those “thousands [who] sacrificed their lives” for liberty:","","6 Jun 2019","There were the British, whose nobility and fortitude saw them through the worst of Dunkirk and the London Blitz. The full violence of Nazi fury was no match for the full grandeur of British pride. Thank you. (Applause.)"
