web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1574570453-19811","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","The Trump administration is repealing an Obama-era policy of policing for-profit colleges","https://www.usatoday.com/story/money/2019/06/28/trump-department-education-devos-remove-gainful-employment-rule/1601251001/","The Trump administration is repealing an Obama-era policy of policing for-profit colleges","null","","null","Department officials said Friday that the 2014 gainful employment rule will be removed entirely effective July 1, 2020. The rule sought to cut federal funding for programs that consistently left graduates with high debt compared to their incomes."
"1574570401-17828","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=3","A college grad flees U.S. to avoid student loan debt: 'I had to escape this prison'","https://www.usatoday.com/story/news/nation/2019/06/11/student-loan-debt-college-grad-flees-u-s-china/1419169001/","A college grad flees U.S. to avoid student loan debt: 'I had to escape this prison'","null","","null","June 1:Your 2019 guide to federal student loan interest rates"
"1574570296-16584","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=5","Betsy DeVos' staff denies rumor she's leaving education secretary job","https://www.usatoday.com/story/news/politics/2018/11/12/betsy-devos-education-secretary-job/1979775002/","Betsy DeVos' staff denies rumor she's leaving education secretary job","null","","null","Educators' unions are already looking forward to the change: A day after the midterm elections last week, the National Education Association put out a statement saying the shift ""will serve as an important check on President Trump and Education Secretary Betsy DeVos."" And the American Federation for Teachers said Monday it is ""hopeful that in a Democratic House, (expected new chairman U.S. Rep.) Bobby Scott’s committee can now exercise oversight over Betsy DeVos’ agenda."""
"1574570287-16510","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=5","R. Kelly case spotlights abuse of underage girls in #MeToo era","https://www.usatoday.com/story/life/music/2019/03/18/r-kelly-case-spotlights-abuse-underage-girls-metoo-era/3199960002/","R. Kelly case spotlights abuse of underage girls in #MeToo era","null","","null","For the young poet, her assault at the hands of a trusted family friend came as a total shock. Along with a girlfriend, she had brought the man a birthday gift. When the girlfriend left, she says, the assault happened. After telling her parents, she retreated into a period of anger and depression."
"1574570300-16665","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=5","What is ALEC? 'The most effective organization' for conservatives, says Newt Gingrich","https://www.usatoday.com/story/news/investigations/2019/04/03/alec-american-legislative-exchange-council-model-bills-republican-conservative-devos-gingrich/3162357002/","What is ALEC? 'The most effective organization' for conservatives, says Newt Gingrich","null","","null","The group guards drafts of its fill-in-the-blank legislation like trade secrets, distributing them only to members deemed trustworthy. Members are discouraged from taking cellphone photos of drafts to reduce the chance they leak."
"1574570440-19541","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","Life: In an Aug. 5 story, a photo of the album cover ""If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra"" did not credit the photographer. The photo credit should have read: Joseph A Tunzi/JAT Publishing/Daryl Restly."
"1574570440-19505","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","Sports: A previous version of the following For The Win story post misspelled the name of Ohio State defensive lineman Joey Bosa. http://ftw.usatoday.com/2015/09/ohio-state-is-veru-good-cardale-jones-braxton-miller-world-domination-lol-why-even-bother-playing-games"
"1574570440-19054","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","December 2016"
"1574570472-20129","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Democratic debate featured frontrunners who battled each other, attacked Trump","https://www.usatoday.com/story/news/politics/elections/2019/09/12/democratic-debate-stage-features-front-runners-joe-biden-bernie-sanders-elizabeth-warren/2291858001/","Democratic debate featured frontrunners who battled each other, attacked Trump","null","","null","The candidates are debating at Texas Southern University, a historically black university in Houston."
"1574570360-17395","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=4","OnPolitics: Buttigieg's huge student debt","https://www.usatoday.com/story/news/politics/onpolitics/2019/05/17/trump-de-blasio-warren-weeks-top-political-news/3693087002/","OnPolitics: Buttigieg's huge student debt","null","","null","The youngest candidate running for president, Pete Buttigieg, is 37. And like gobs of millennials, he's deep in student debt: Between $140,004 and $360,000, documents this week showed. That's one surefire way Buttigieg, who's pitched himself as The Millennial Candidate, may relate to younger voters in a field of big-name Democrats like Joe Biden (age 76) and Bernie Sanders (age 77)."
"1574570386-17673","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=3","Free college plans such as Elizabeth Warren's are pretty pricey. Some say her plan would benefit the rich most","https://www.usatoday.com/story/news/education/2019/04/26/fafsa-elizabeth-warren-student-loans-forgiveness-free-college-debt-relief/3572444002/","Free college plans such as Elizabeth Warren's are pretty pricey. Some say her plan would benefit the rich most","null","","null","But free public college might push more students away from small, private universities to what would be a cheaper alternative, said Richard Ekman, president of the Council of Independent Colleges. Other students, he said, might choose a private college anyway because they saw it as a higher-quality education."
"1574570430-18084","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Betsy DeVos calls for more charter schools even as they spark investigations across the country","https://www.usatoday.com/story/news/education/2019/03/27/charter-school-betsy-devos-school-choice/3251111002/","Betsy DeVos calls for more charter schools even as they spark investigations across the country","null","","null","More from New Jersey:"
"1574570427-18059","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","'Let's put a teacher in the White House': 2020 candidates make promises to teachers","https://www.usatoday.com/story/news/politics/2019/07/06/nea-democratic-candidates-promise-money-respect-school-teachers/1664166001/","'Let's put a teacher in the White House': 2020 candidates make promises to teachers","null","","null","Vermont Sen. Bernie Sanders put a specific number for starting pay for teachers: $60,000 per year."
"1574570440-19101","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","Corrections & Clarifications","https://www.usatoday.com/story/news/2013/01/09/corrections-clarifications/1821023/","Corrections & Clarifications","null","","null","Money: An auto review Nov. 4 about the 2017 Lincoln Continental misidentified who wrote the piece. It was USA TODAY Network writer Mark Phelan of the Detroit Free Press."
"1574570421-18033","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","'Get rid of the fat': Why Betsy DeVos' plan to slash Special Olympics funding probably won't happen","https://www.usatoday.com/story/news/politics/2019/03/28/special-olympics-why-proposed-budget-cuts-unlikely-happen/3297779002/","'Get rid of the fat': Why Betsy DeVos' plan to slash Special Olympics funding probably won't happen","null","","null","Trump must either sign the budget or veto it. If he vetoes the bill, Congress will start over and try to come up with a budget that will win presidential approval."
"1574570445-19769","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","'The View' hosts debate Al Franken #MeToo allegations: 'A political hit' with 'some holes'","https://www.usatoday.com/story/entertainment/celebrities/2019/07/23/the-view-hosts-debate-due-process-al-frankens-metoo-accusations/1806158001/","'The View' hosts debate Al Franken #MeToo allegations: 'A political hit' with 'some holes'","null","","null","Behar also said she was skeptical of the allegations by conservative radio host Leeann Tweeden, Franken's first accuser and a friend of Meghan McCain, Behar's co-host."
"1574570404-17898","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=3","GOP Rep. Justin Amash draws applause at town hall after calling for Donald Trump's impeachment","https://www.usatoday.com/story/news/politics/2019/05/29/justin-amash-donald-trump-impeachment-town-hall/1268254001/","GOP Rep. Justin Amash draws applause at town hall after calling for Donald Trump's impeachment","null","","null","""He's willing to speak truth to power, despite the cowardice and spinelessness of all of the rest of the Republicans,"" said Marge Friar, a retired Grand Rapids teacher who was holding a sign that read: ""Country Over Politics."""
"1574570445-19781","https://www.usatoday.com/search/?q=betsy%20devos","","https://www.usatoday.com/search/?q=betsy%20devos&page=2","'The View' hosts debate Al Franken #MeToo allegations: 'A political hit' with 'some holes'","https://www.usatoday.com/story/entertainment/celebrities/2019/07/23/the-view-hosts-debate-due-process-al-frankens-metoo-accusations/1806158001/","'The View' hosts debate Al Franken #MeToo allegations: 'A political hit' with 'some holes'","null","","null","""Journalists should do their job, and it looks like Jane Mayer had a totally different experience reporting on Al Franken than she does Brett Kavanaugh, and that's my biggest problem, other than the obvious allegations of sexual assault,"" she said."
