web-scraper-order,web-scraper-start-url,article,article-href,title,subtitle,author,content,date
"1570855693-1531","https://www.nytimes.com/section/politics","ImageWhat Jane Sanders Is Telling Bernie Sanders About His 2020 BidJane Sanders, long an influential force in her husband’s political life, has recently been instrumental in shaping decisions about his health issues, his campaign and the flow of information to the public.By Sydney Ember and Jonathan Martin","https://www.nytimes.com/2019/10/10/us/politics/bernie-sanders-wife-jane.html","What Jane Sanders Is Telling Bernie Sanders About His 2020 Bid","Jane Sanders, long an influential force in her husband’s political life, has recently been instrumental in shaping decisions about his health issues, his campaign and the flow of information to the public.","Sydney Ember","Ms. Sanders said the decision not to reveal her husband’s heart attack until the next day was motivated by another crisis in her family occurring at the same time: the sudden cancer diagnosis of her daughter-in-law, Rainè Riggs, the wife of Mr. Sanders’s son, Levi Sanders. Ms. Riggs died this weekend, at age 46.","Oct. 10, 2019"
"1570855477-819","https://www.nytimes.com/section/politics","ImageElizabeth Warren Details Her Account of Losing Teaching Job Because of PregnancyMs. Warren said she had grown more comfortable talking about her experience over the years, explaining why her description of the 1971 episode in her stump speeches differs from how she discussed it in the past.By Thomas Kaplan","https://www.nytimes.com/2019/10/08/us/politics/elizabeth-warren-fired-pregnant.html","Elizabeth Warren Details Her Account of Losing Teaching Job Because of Pregnancy","Ms. Warren said she had grown more comfortable talking about her experience over the years, explaining why her description of the 1971 episode in her stump speeches differs from how she discussed it in the past.","Thomas Kaplan","Pregnancy discrimination can begin as soon as women reveal they are pregnant, or are visibly showing, and can continue to affect them for years. In physically demanding jobs, pregnant women risk being fired if they ask to take rest breaks, and in the corporate world, women and mothers may be steered away from prestigious assignments or excluded from client meetings if a boss perceives them to be less committed to their work than other employees.","Published Oct. 8, 2019"
"1570855409-511","https://www.nytimes.com/section/politics","ImageSupreme Court Considers Whether Civil Rights Act Protects L.G.B.T. WorkersThe court seemed divided along predictable lines, with a possible exception: Justice Neil M. Gorsuch, a member of the conservative majority.By Adam Liptak and Jeremy W. Peters","https://www.nytimes.com/2019/10/08/us/politics/supreme-court-gay-transgender.html","Supreme Court Considers Whether Civil Rights Act Protects L.G.B.T. Workers","null","Adam Liptak","“When an employer fires a male employee for dating men but does not fire female employees who date men,” Ms. Karlan said, “he violates Title VII.”","Oct. 8, 2019"
"1570855477-808","https://www.nytimes.com/section/politics","ImageElizabeth Warren Details Her Account of Losing Teaching Job Because of PregnancyMs. Warren said she had grown more comfortable talking about her experience over the years, explaining why her description of the 1971 episode in her stump speeches differs from how she discussed it in the past.By Thomas Kaplan","https://www.nytimes.com/2019/10/08/us/politics/elizabeth-warren-fired-pregnant.html","Elizabeth Warren Details Her Account of Losing Teaching Job Because of Pregnancy","Ms. Warren said she had grown more comfortable talking about her experience over the years, explaining why her description of the 1971 episode in her stump speeches differs from how she discussed it in the past.","Thomas Kaplan","“I loved that work, and I would probably still be doing that work today, but my story has some more turns,” she told a crowd in Nevada last week. “By the end of the first year, I was visibly pregnant, and the principal did what principals did in those days: wished me luck and hired someone else for the job.”","Published Oct. 8, 2019"
"1570855889-2145","https://www.nytimes.com/section/politics","ImageThe Democrats Worth Staying Up Past Bedtime ForFor the way-too-young-to-vote crowd, 2020 events are still a draw.By Reid J. Epstein","https://www.nytimes.com/2019/10/11/us/politics/2020-candidates-children.html","The Democrats Worth Staying Up Past Bedtime For","For the way-too-young-to-vote crowd, 2020 events are still a draw.","Reid J. Epstein","Ms. Batey, whose 4-month-old son, George, was asleep in his car seat, made it through Mr. Buttigieg’s event without having to flee. Afterward, she waited on the sidewalk in front of the Buttigieg campaign bus, holding one child in each arm.","Oct. 11, 2019"
"1570855683-1473","https://www.nytimes.com/section/politics","ImageChina Trade Talks Restart as White House Explores Escalation OptionsExpectations for a limited deal grew, even as the Trump administration separately considered limiting China’s access to U.S. capital markets and imposing greater scrutiny on Chinese companies.By Alan Rappeport and Ana Swanson","https://www.nytimes.com/2019/10/10/us/politics/trump-china-trade.html","China Trade Talks Restart as White House Explores Escalation Options","null","Alan Rappeport","A U.S. Chamber of Commerce official briefed by both negotiating teams said that the United States and China could announce a limited trade agreement this week that would prevent Mr. Trump’s planned tariff increase from going into effect this month and set rules around how China manages its currency.","Oct. 10, 2019"
"1570855624-1314","https://www.nytimes.com/section/politics","ImageTrump Is Serious About Carrying Minnesota, the One That Got Away in 2016The president lost the state by less than 45,000 votes in 2016, despite barely campaigning there. He holds a rally in Minneapolis Thursday night.By Annie Karni and Maggie Haberman","https://www.nytimes.com/2019/10/09/us/politics/trump-minnesota-2020.html","Trump Is Serious About Carrying Minnesota, the One That Got Away in 2016","null","Annie Karni","Iron Rangers in northern Minnesota have been fleeing the Democratic Party because of promises to end the fossil fuel industry, among others, according to local officials, who point to Representative Collin C. Peterson, a Democrat, as an example of the state’s changing politics. Mr. Peterson, who represents Minnesota’s Seventh District, won his race in 2012 by 26 points. In 2018, he eked out a victory with a much slimmer 4-point margin. In 2016, Mr. Trump won the Seventh District by 31.5 points.","Oct. 9, 2019"
"1570855586-1178","https://www.nytimes.com/section/politics","ImageBiden Calls for Trump Impeachment for First TimeIt was the first time the former vice president expressed support for full impeachment. He had previously backed a congressional inquiry.By Jonathan Martin","https://www.nytimes.com/2019/10/09/us/politics/biden-speech-impeachment.html","Biden Calls for Trump Impeachment for First Time","It was the first time the former vice president expressed support for full impeachment. He had previously backed a congressional inquiry.","Jonathan Martin","The former vice president has openly wrestled with how forceful to be with Mr. Trump, lamenting last week that the president wants to drag opponents into “a mud fight.” But Mr. Biden is increasingly sharpening his rhetoric under pressure from allies to embrace the head-to-head race.","Published Oct. 9, 2019"
"1570855683-1479","https://www.nytimes.com/section/politics","ImageChina Trade Talks Restart as White House Explores Escalation OptionsExpectations for a limited deal grew, even as the Trump administration separately considered limiting China’s access to U.S. capital markets and imposing greater scrutiny on Chinese companies.By Alan Rappeport and Ana Swanson","https://www.nytimes.com/2019/10/10/us/politics/trump-china-trade.html","China Trade Talks Restart as White House Explores Escalation Options","null","Alan Rappeport","Larry Kudlow, the director of the National Economic Council, acknowledged on Tuesday that the administration was looking for ways to protect Americans who were investing in Chinese companies.","Oct. 10, 2019"
"1570855790-1848","https://www.nytimes.com/section/politics","ImageTrump Lashes Out at Fox News Poll as Barr Meets With MurdochAides to both Mr. Murdoch and Mr. Barr declined requests for comment on the meeting.By Maggie Haberman and Katie Benner","https://www.nytimes.com/2019/10/10/us/politics/fox-news-poll-trump-impeachment.html","Trump Lashes Out at Fox News Poll as Barr Meets With Murdoch","null","Maggie Haberman","Mr. Trump has sought out Mr. Murdoch’s opinion on a wide range of issues in the past, and Fox News has provided Mr. Trump with key support both as a candidate and as president.","Published Oct. 10, 2019"
"1570855618-1282","https://www.nytimes.com/section/politics","ImagePentagon Analyst Is Charged in Leaks of Classified ReportsThe arrest was the latest in the Trump administration’s aggressive pursuit of government workers who share classified information with journalists.By Katie Benner","https://www.nytimes.com/2019/10/09/us/politics/kyle-frese-classified-leaks.html","Pentagon Analyst Is Charged in Leaks of Classified Reports","The arrest was the latest in the Trump administration’s aggressive pursuit of government workers who share classified information with journalists.","Katie Benner","The Trump administration’s renewed pursuit of leakers has alarmed First Amendment advocates, who say the investigations can have a chilling effect on government employees who may choose to stay silent rather than alert journalists to wrongdoing.","Oct. 9, 2019"
"1570855889-2156","https://www.nytimes.com/section/politics","ImageThe Democrats Worth Staying Up Past Bedtime ForFor the way-too-young-to-vote crowd, 2020 events are still a draw.By Reid J. Epstein","https://www.nytimes.com/2019/10/11/us/politics/2020-candidates-children.html","The Democrats Worth Staying Up Past Bedtime For","For the way-too-young-to-vote crowd, 2020 events are still a draw.","Reid J. Epstein","Evelynn Parlet, 11, an Iowa City sixth grader, said she approved of Ms. Warren’s campaign goal of reordering the American economy.","Oct. 11, 2019"
