web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content,
"1575050557-65663","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=38","Greg Craig, former Obama White House counsel, found not guilty of false statements over Ukraine work","https://www.foxnews.com/politics/greg-craig-former-obama-white-house-counsel-found-not-guilty-of-false-statements-over-ukraine-work","Greg Craig, former Obama White House counsel, found not guilty of false statements over Ukraine work","Greg Craig, former Obama White House counsel, found not guilty of false statements over Ukraine work","","September 4","Other jurors said they found Craig to be credible if not entirely forthright in some of his communications, and that it was difficult to find Craig had specifically committed a crime within the ""narrow"" period prescribed by the applicable statute of limitations. Jurors would have needed to find criminal conduct after October 3, 2013 -- although some said they had concerns about Craig's conduct before that cutoff date.","null"
"1575050815-66068","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=7","Ingraham: Is Team Obama behind Harris' surge?","https://www.foxnews.com/politics/ingraham-is-team-obama-behind-sen-harris-surge","Ingraham: Is Team Obama behind Harris' surge?","Ingraham: Is Team Obama behind Harris' surge?","","July 9","Ingraham said there's already evidence that Obama is at least on the periphery playing a role in the Harris campaign. Some of his administration's alums are already working for Harris' campaign.","null"
"1575050564-65695","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=37","Barack Obama, Insurance Salesman","https://www.foxnews.com/politics/barack-obama-insurance-salesman","Barack Obama, Insurance Salesman","Barack Obama, Insurance Salesman","","September 26, 2013","But it’s not as odd as you might think. Obama built his law in private in conjunction with the same companies he was skewering in public. The same goes for the drug companies that were the preferred targets of Democrats for most of the pre-ObamaCare era. Why?","null"
"1575050835-66103","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=4","Rep. Ilhan Omar slams Barack Obama's message of 'hope and change' as a 'mirage'","https://www.foxnews.com/politics/rep-ilhan-omar-slams-barack-obamas-message-of-hope-and-change-as-a-mirage","Rep. Ilhan Omar slams Barack Obama's message of 'hope and change' as a 'mirage'","Rep. Ilhan Omar slams Barack Obama's message of 'hope and change' as a 'mirage'","","March 8","“Branding criticism of Israel as automatically anti-Semitic has a chilling effect on our public discourse and makes it harder to achieve a peaceful solution between Israelis and Palestinians,” she wrote in a statement obtained by Fox News.","null"
"1575050499-65551","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=44","Biden faces protestors at NH campaign event over Obama-era deportations","https://www.foxnews.com/politics/biden-faces-protestors-at-nh-campaign-event-over-obama-era-deportations","Biden faces protestors at NH campaign event over Obama-era deportations","Biden faces protestors at NH campaign event over Obama-era deportations","","July 12","The former vice president told the audience “I hope you’ll vote for me,” but also highlighted that if he doesn’t win the nomination, “whoever our nominee is, I’m going to break my neck to make sure they get elected.”","null"
"1575050806-66044","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=8","Texas woman who mailed Obama explosive gets 10-year sentence","https://www.foxnews.com/politics/barack-obama-greg-abbott-explosive-devices-mailed","Texas woman who mailed Obama explosive gets 10-year sentence","Texas woman who mailed Obama explosive gets 10-year sentence","","November 19","After Poff began citing the Biblical verses, Gilmore shut down Poff, asking her to explain her actions, the report said.","null"
"1575050547-65644","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=39","Both sides make closing arguments in trial of ex-Obama White House lawyer Greg Craig","https://www.foxnews.com/politics/greg-craig-obama-trial-closing-arguments-ukraine","Both sides make closing arguments in trial of ex-Obama White House lawyer Greg Craig","Both sides make closing arguments in trial of ex-Obama White House lawyer Greg Craig","","September 3","Craig, 74, faces one count of lying to the DOJ's Foreign Agents Registration Act (FARA) Unit when it approached the firm -- Skadden, Arps, Slate, Meagher & Flom -- with concerns that it should have registered as a foreign agent for its Ukraine work.","null"
"1575050731-65914","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=18","Ex-President Barack Obama shows up in Chicago for jury duty","https://www.foxnews.com/politics/ex-president-barack-obama-shows-up-in-chicago-for-jury-duty","Ex-President Barack Obama shows up in Chicago for jury duty","Ex-President Barack Obama shows up in Chicago for jury duty","","November 8, 2017","Obama is the highest-ranking former public official to be called to jury duty in Chicago, and almost certainly the only one who ever arrived with a Secret Service detail. But he is not the first former president to be called to jury duty. In 2015, former President George W. Bush answered the jury duty call in Dallas. He was not selected to sit on a jury. And in 2003, former President Bill Clinton reported for jury duty in federal court in New York City. He also was not selected.","null"
"1575050470-65463","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=47","Obama worries that progressives risk creating ‘circular firing squad’","https://www.foxnews.com/politics/obama-warns-democrats-against-creating-circular-firing-squad","Obama worries that progressives risk creating ‘circular firing squad’","Obama worries that progressives risk creating ‘circular firing squad’","","April 6","Former vice president under Obama, Joe Biden, meanwhile has faced criticism for inappropriate past physical contact with women, as well a a 1993 speech on crime in which he warned of “predators on our streets”","null"
"1575050782-66011","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=11","Michelle Obama calls Barack the 'good parent,' slams Trump supporters for going 'fun' route","https://www.foxnews.com/politics/michelle-obama-calls-barack-the-good-parent-slams-trump-supporters-for-going-fun-route","Michelle Obama calls Barack the 'good parent,' slams Trump supporters for going 'fun' route","Michelle Obama calls Barack the 'good parent,' slams Trump supporters for going 'fun' route","","April 6, 2018","""But she was way more perfect..."" Obama said, pausing with a grin as some audience members laughed and applauded ""...than many of the alternatives.""","null"
"1575050557-65682","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=38","Greg Craig, former Obama White House counsel, found not guilty of false statements over Ukraine work","https://www.foxnews.com/politics/greg-craig-former-obama-white-house-counsel-found-not-guilty-of-false-statements-over-ukraine-work","Greg Craig, former Obama White House counsel, found not guilty of false statements over Ukraine work","Greg Craig, former Obama White House counsel, found not guilty of false statements over Ukraine work","","September 4","During the trial, Craig took the stand in his own defense, and said the report identified significant flaws with the handling of Tymoshenko’s case. That conclusion went against the interests of the Ukrainian government, which clearly wanted the trial to be depicted as fair in order to counter international criticism of the proceedings.","null"
"1575050499-65540","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=44","Biden faces protestors at NH campaign event over Obama-era deportations","https://www.foxnews.com/politics/biden-faces-protestors-at-nh-campaign-event-over-obama-era-deportations","Biden faces protestors at NH campaign event over Obama-era deportations","Biden faces protestors at NH campaign event over Obama-era deportations","","July 12","Biden remains the front-runner in the Democratic nomination race, but he’s seen his big lead in the national and early primary and caucus voting state polls slip in the wake of last month’s first round of primary debates when he was cold-cocked by Sen. Kamala Harris.","null"
"1575050644-65839","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=25","Dems who praised Obama for troop withdrawal now highly critical of Trump","https://www.foxnews.com/politics/dems-who-praised-obama-for-troop-withdrawal-now-highly-critical-of-trump","Dems who praised Obama for troop withdrawal now highly critical of Trump","Dems who praised Obama for troop withdrawal now highly critical of Trump","","October 17","Graham, however, was no supporter of Obama, and lumped Trump and his predecessor together in making what he believes to be critical foreign policy errors.","null"
"1575050835-66088","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=4","Rep. Ilhan Omar slams Barack Obama's message of 'hope and change' as a 'mirage'","https://www.foxnews.com/politics/rep-ilhan-omar-slams-barack-obamas-message-of-hope-and-change-as-a-mirage","Rep. Ilhan Omar slams Barack Obama's message of 'hope and change' as a 'mirage'","Rep. Ilhan Omar slams Barack Obama's message of 'hope and change' as a 'mirage'","","March 8","“Recalling the ‘caging of kids’ at the U.S.-Mexico border and the ‘droning of countries around the world’ on Obama’s watch,"" Omar charged that Obama ""operated within the same fundamentally broken framework as his Republican successor,” the piece reads.","null"
"1575050705-65885","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=21","Obama takes veiled shot at Warren and Sanders, warns 2020 Dems Americans don’t want to ‘tear down the system’","https://www.foxnews.com/politics/obama-warns-2020-democrats-warren-sanders","Obama takes veiled shot at Warren and Sanders, warns 2020 Dems Americans don’t want to ‘tear down the system’","Obama takes veiled shot at Warren and Sanders, warns 2020 Dems Americans don’t want to ‘tear down the system’","","November 16","On Friday, he did not mention any candidates by name, but did cite immigration and health care reform as examples of where Democrats may be out of sync with the broader electorate.","null"
"1575050620-65791","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=28","Rev. Jesse Lee Peterson:  'Black Americans got worse under Barack Obama'","https://www.foxnews.com/politics/rev-jesse-lee-peterson-black-americans-got-worse-under-barack-obama","Rev. Jesse Lee Peterson:  'Black Americans got worse under Barack Obama'","Rev. Jesse Lee Peterson:  'Black Americans got worse under Barack Obama'","","July 3, 2017","Peterson claimed that ""most black Americans are not suffering due to racism, but the destruction of the family, and the lack of moral character.","null"
"1575050644-65826","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=25","Dems who praised Obama for troop withdrawal now highly critical of Trump","https://www.foxnews.com/politics/dems-who-praised-obama-for-troop-withdrawal-now-highly-critical-of-trump","Dems who praised Obama for troop withdrawal now highly critical of Trump","Dems who praised Obama for troop withdrawal now highly critical of Trump","","October 17","“If the United States abandons the Kurds, these courageous allies will never trust us again,” Waters said in a statement, adding that “Trump’s betrayal of the Kurds is a gift to Russia, Iran and ISIS.”","null"
"1575050620-65788","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=28","Rev. Jesse Lee Peterson:  'Black Americans got worse under Barack Obama'","https://www.foxnews.com/politics/rev-jesse-lee-peterson-black-americans-got-worse-under-barack-obama","Rev. Jesse Lee Peterson:  'Black Americans got worse under Barack Obama'","Rev. Jesse Lee Peterson:  'Black Americans got worse under Barack Obama'","","July 3, 2017","""Black Americans got worse under Barack Obama than any other time in the history of America,"" Peterson, an author and founder of the BOND organization, told host Tucker Carlson. ""If it was a race issue, why didn’t they get better [when] we had a black president?""","null"
"1575050527-65595","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=41","Trump hammers Biden, questions if 'big secret' is behind why Obama hasn't endorsed his ex-VP","https://www.foxnews.com/politics/trump-biden-big-secret-obama-endorsement","Trump hammers Biden, questions if 'big secret' is behind why Obama hasn't endorsed his ex-VP","Trump hammers Biden, questions if 'big secret' is behind why Obama hasn't endorsed his ex-VP","","June 24","FLASHBACK: BIDEN ENTERS WHITE HOUSE RACE WITHOUT OBAMA'S ENDORSEMENT","null"
"1575050537-65634","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=40","Mattis slams Obama, Biden for 'ignoring reality' in Iraq, leading to rise of ISIS","https://www.foxnews.com/politics/mattis-slams-obama-biden-for-ignoring-reality-in-iraq-leading-to-rise-of-isis","Mattis slams Obama, Biden for 'ignoring reality' in Iraq, leading to rise of ISIS","Mattis slams Obama, Biden for 'ignoring reality' in Iraq, leading to rise of ISIS","","September 3","“Old friends in NATO and in the Pacific registered dismay and incredulity that America’s reputation had been seriously weakened as a credible security partner,” Mattis wrote. “Within 36 hours, I received a phone call from a friendly Pacific-nation diplomat. ‘Well, Jim,’ he said, ‘I guess we’re on our own with China.'”","null"
"1575050760-65959","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=14","Obama warned he would intervene to stop Bernie, had cutting words for Biden: report","https://www.foxnews.com/politics/obama-warned-he-would-intervene-to-stop-bernie-from-winning-nomination-report","Obama warned he would intervene to stop Bernie, had cutting words for Biden: report","Obama warned he would intervene to stop Bernie, had cutting words for Biden: report","","3 days ago","“Even as we push the envelope and we are bold in our vision, we also have to be rooted in reality and the fact that voters, including the Democratic voters and certainly persuadable independents or even moderate Republicans, are not driven by the same views that are reflected on certain, you know, left-leaning Twitter feeds,” Obama said.","null"
"1575050444-65415","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=50","Jesse Watters: Obama administration most 'corrupt' since Nixon","https://www.foxnews.com/politics/jesse-watters-obama-administration-most-corrupt-since-nixon","Jesse Watters: Obama administration most 'corrupt' since Nixon","Jesse Watters: Obama administration most 'corrupt' since Nixon","","March 25","“The Five” co-host Jesse Watters called the Obama administration the most “corrupt” since Richard Nixon's presidency, following the Mueller report’s findings of Russian meddling during Barack Obama's presidency and after revealing comments from his former CIA chief John Brennan.","null"
"1575050744-65920","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=16","Left turns on Obama for challenging calls to ‘tear down the system’","https://www.foxnews.com/politics/left-turns-on-obama-for-challenging-calls-to-tear-down-the-system","Left turns on Obama for challenging calls to ‘tear down the system’","Left turns on Obama for challenging calls to ‘tear down the system’","","November 18","“I’m #TooFarLeft because I want kids to be safe in school. I’m #TooFarLeft because I want people to live in dignity. I’m #TooFarLeft because I seek justice and equality. I’m #TooFarLeft because I think healthcare and housing are human rights,” tweeted former Hillary Clinton adviser Peter Daou, who started the hashtag.","null"
"1575050499-65529","https://www.foxnews.com/search-results/search?q=barack%20obama&ss=fn&section.path=fnc/politics&type=story&start=44","Biden faces protestors at NH campaign event over Obama-era deportations","https://www.foxnews.com/politics/biden-faces-protestors-at-nh-campaign-event-over-obama-era-deportations","Biden faces protestors at NH campaign event over Obama-era deportations","Biden faces protestors at NH campaign event over Obama-era deportations","","July 12","The disturbance came at the end of a campaign event in the first-in-the-nation presidential primary state of New Hampshire, where Biden -- the current front-runner in the race for the Democratic presidential nomination  -- chided some of his 2020 rivals for forming “a circular firing squad” and lamented that he’s “getting skewered by the new Democratic Party.”","null"
