web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574566120-9162","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=8","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","https://www.foxnews.com/politics/ocasio-cortez-omar-tlaib-reportedly-will-endorse-bernie-sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","Ocasio-Cortez, Omar, Tlaib to endorse Bernie Sanders","","October 15","Fox News has learned that Rep. Alexandria Ocasio-Cortez, D-N.Y., will appear with Sanders on Saturday in Queens, N.Y., at a “Bernie’s Back” rally designed to generate excitement for the senator’s campaign following his recent heart procedure. Rep. Ihan Omar, D-Minn., will also endorse the candidate, Fox News confirmed."
"1574565721-8479","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=52","Ocasio-Cortez repeats 'concentration camp' comparison, despite criticism over the remark","https://www.foxnews.com/politics/ocasio-cortez-repeats-concentration-camps","Ocasio-Cortez repeats 'concentration camp' comparison, despite criticism over the remark","Ocasio-Cortez repeats 'concentration camp' comparison, despite criticism over the remark","","July 2","He added, “She’s lost all credibility.”"
"1574566087-9107","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=12","Rep. Alexandria Ocasio-Cortez mocks cringeworthy tweet by Democratic National Committee","https://www.foxnews.com/politics/rep-alexandria-ocasio-cortez-mocks-cringe-worthy-tweet-by-democratic-national-committee","Rep. Alexandria Ocasio-Cortez mocks cringeworthy tweet by Democratic National Committee","Rep. Alexandria Ocasio-Cortez mocks cringeworthy tweet by Democratic National Committee","","June 19","TOMI LAHREN: ALEXANDRIA OCASIO-CORTEZ IS RIGHT ABOUT THIS (YES, I MEAN IT)..."
"1574566143-9197","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=5","Alexandria Ocasio-Cortez targeted by mystery multimillionaire donor","https://www.foxnews.com/politics/alexandria-ocasio-cortez-targeted-by-mystery-multimillionaire-donor","Alexandria Ocasio-Cortez targeted by mystery multimillionaire donor","Alexandria Ocasio-Cortez targeted by mystery multimillionaire donor","","April 21","And the fledgling challengers could get help from a wealthy New Yorker committed to backing an Ocasio-Cortez opponent, a GOP big said."
"1574565965-8927","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=25","Alexandria Ocasio-Cortez, Liz Cheney disagree on Twitter over knowledge of 22nd Amendment, Constitution","https://www.foxnews.com/politics/alexandria-ocasio-cortez-and-liz-cheney-disagree-on-twitter-over-knowledge-of-22nd-amendment-constitution","Alexandria Ocasio-Cortez, Liz Cheney disagree on Twitter over knowledge of 22nd Amendment, Constitution","Alexandria Ocasio-Cortez, Liz Cheney disagree on Twitter over knowledge of 22nd Amendment, Constitution","","April 2","House Reps. Liz Cheney and Alexandria Ocasio-Cortez clashed on Twitter over each other's understanding of the Constitution."
"1574566143-9199","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=5","Alexandria Ocasio-Cortez targeted by mystery multimillionaire donor","https://www.foxnews.com/politics/alexandria-ocasio-cortez-targeted-by-mystery-multimillionaire-donor","Alexandria Ocasio-Cortez targeted by mystery multimillionaire donor","Alexandria Ocasio-Cortez targeted by mystery multimillionaire donor","","April 21","“There’s definitely national energy and money on this race,” Bronx Republican Chairman Mike Rendino told The Post, adding that he has been in touch with a mega-bucks donor hell-bent on getting AOC tossed."
"1574565858-8746","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=36","Alexandria Ocasio-Cortez faces questions after her boyfriend gets congressional email account","https://www.foxnews.com/politics/alexandria-ocasio-cortez-faces-questions-after-her-boyfriend-gets-congressional-email-account","Alexandria Ocasio-Cortez faces questions after her boyfriend gets congressional email account","Alexandria Ocasio-Cortez faces questions after her boyfriend gets congressional email account","","February 15","""It’s totally naïve and inappropriate – you wouldn’t allow it in most companies, let alone the House of Representatives. There should be real consequences,” Chaffetz told Fox News."
"1574565858-8751","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=36","Alexandria Ocasio-Cortez faces questions after her boyfriend gets congressional email account","https://www.foxnews.com/politics/alexandria-ocasio-cortez-faces-questions-after-her-boyfriend-gets-congressional-email-account","Alexandria Ocasio-Cortez faces questions after her boyfriend gets congressional email account","Alexandria Ocasio-Cortez faces questions after her boyfriend gets congressional email account","","February 15","ALEXANDRIA OCASIO-CORTEZ CALLS GREEN NEW DEAL A 'LIFE AND DEATH' ISSUE, ATTACKS GOP ON CLIMATE CHANGE"
"1574565874-8799","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=34","Alexandria Ocasio-Cortez slammed over anti-Amazon push in New York City billboard: 'Thanks for nothing'","https://www.foxnews.com/politics/alexandria-ocasio-cortez-slammed-over-anti-amazon-push-in-new-york-city-billboard-thanks-for-nothing","Alexandria Ocasio-Cortez slammed over anti-Amazon push in New York City billboard: 'Thanks for nothing'","Alexandria Ocasio-Cortez slammed over anti-Amazon push in New York City billboard: 'Thanks for nothing'","","February 20","The company planned to spend $2.5 billion building the New York office, choosing the area in part because of its large pool of tech talent. The governor and the mayor had argued that the project would spur economic growth that would pay for the $2.8 billion in state and city incentives many times over."
"1574566096-9127","https://www.foxnews.com/search-results/search?q=alexandria%20ocasio%20cortez&ss=fn&section.path=fnc/politics&type=story&start=11","Where in the world does Alexandria Ocasio-Cortez live?","https://www.foxnews.com/politics/where-in-the-world-does-alexandria-ocasio-cortez-live","Where in the world does Alexandria Ocasio-Cortez live?","Where in the world does Alexandria Ocasio-Cortez live?","","February 24","CLICK HERE TO GET THE FOX NEWS APP"
