web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content,
"1575050163-65103","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=19","McConnell: If Trump impeachment trial were held today, 'it would not lead to a removal'","https://www.foxnews.com/politics/mcconnell-if-trump-impeachment-trial-were-held-today-it-would-not-lead-to-a-removal","McConnell: If Trump impeachment trial were held today, 'it would not lead to a removal'","McConnell: If Trump impeachment trial were held today, 'it would not lead to a removal'","","November 5","Democrats claim that's an improper quid pro quo, while Trump and his GOP allies insist the president did nothing wrong.","null"
"1575050222-65222","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=12","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","https://www.foxnews.com/politics/from-cocaine-mitch-to-grim-reaper-mcconnell-nicknames-become-political-weapons","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","","May 17","In the DC Comics canon, Superman is blessed with an array of powers. Herculean strength. X-ray vision. Heat vision. Freezing cold breath (really?). Speed. The ability of fly. You know the mantra. “Faster than a speeding bullet! More powerful than a locomotive! Able to leap tall buildings in a single bound!”","null"
"1575050110-64994","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=26","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","https://www.foxnews.com/politics/mcconnell-says-he-has-no-choice-but-to-take-up-impeachment-articles-if-house-approves-them","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","McConnell says he'd have 'no choice' but to take up impeachment articles if House approves them","","September 30","“I think all of that is premature,” he said.","null"
"1575050138-65058","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=22","Kentucky sports radio host who may challenge McConnell taken off air after state GOP complaint","https://www.foxnews.com/politics/mcconnell-kentucky-gop-radio-sports","Kentucky sports radio host who may challenge McConnell taken off air after state GOP complaint","Kentucky sports radio host who may challenge McConnell taken off air after state GOP complaint","","November 7","Jones has formed an exploratory committee to run as a Democrat against McConnell, WLKY-TV reported.  Another Democrat, Amy McGrath, has already filed to run.","null"
"1575050352-65406","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=0","Tight Kentucky gubernatorial race could be bellwether for Mitch McConnell","https://www.foxnews.com/politics/kentucky-governors-race-mitch-mcconnells-litmus-test","Tight Kentucky gubernatorial race could be bellwether for Mitch McConnell","Tight Kentucky gubernatorial race could be bellwether for Mitch McConnell","","November 4","McConnell’s history, however, hasn’t stopped Democratic opponents from emerging, including retired Marine pilot Amy McGrath. She raised $10 million in just 24 hours of announcing she would run against the Senate majority leader.","null"
"1575050008-64823","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=38","‘Moscow Mitch’ merchandise sales top $200,000 in 48 hours, Kentucky Dems say","https://www.foxnews.com/politics/moscow-mitch-merchandise-sales-top-200000-in-48-hours-kentucky-dems-say","‘Moscow Mitch’ merchandise sales top $200,000 in 48 hours, Kentucky Dems say","‘Moscow Mitch’ merchandise sales top $200,000 in 48 hours, Kentucky Dems say","","August 2","Fox News' Gregg Re and The Associated Press contributed to this report.","null"
"1575049999-64795","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=39","McConnell campaign accuses AOC of ‘trying to dox some underage kids’ after cardboard cutout photo","https://www.foxnews.com/politics/mcconnell-campaign-alerts-law-enforcement-after-aoc-calls-out-underage-supporters-on-twitter","McConnell campaign accuses AOC of ‘trying to dox some underage kids’ after cardboard cutout photo","McConnell campaign accuses AOC of ‘trying to dox some underage kids’ after cardboard cutout photo","","August 6","AOC SLAMS MCCONNELL AFTER PHOTO OF YOUNG MEN IN 'TEAM MITCH' T-SHIRTS 'GROPING' CUTOUT SURFACES","null"
"1575050035-64850","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=35","McConnell vows to be 'grim reaper' of socialist Dem proposals","https://www.foxnews.com/politics/mcconnell-vows-to-be-grim-reaper-of-socialist-dem-proposals","McConnell vows to be 'grim reaper' of socialist Dem proposals","McConnell vows to be 'grim reaper' of socialist Dem proposals","","April 22","Senate Majority Leader Mitch McConnell, known for years by the hardboiled moniker ""Cocaine Mitch,"" told community leaders in his hometown Kentucky on Monday that he wants a new nickname to reflect what he plans to do to a slew of far-left progressive policy proposals: ""grim reaper.""","null"
"1575050258-65294","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=8","Ocasio-Cortez turns attention to Mitch McConnell amid ongoing feud with Trump over controversial comments","https://www.foxnews.com/politics/ocasio-cortez-mcconnell-trump-tweets","Ocasio-Cortez turns attention to Mitch McConnell amid ongoing feud with Trump over controversial comments","Ocasio-Cortez turns attention to Mitch McConnell amid ongoing feud with Trump over controversial comments","","July 16","Ocasio-Cortez similarly predicted the controversy could bode well for her party in the upcoming elections. ""Honestly, if these members go on the record condoning the president telling women of color to go back to their own country, I invite them to because we will win the 2020 election and we will take this country back.""","null"
"1575050222-65224","https://www.foxnews.com/search-results/search?q=mitch%20mcconnell&ss=fn&section.path=fnc/politics&type=story&start=12","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","https://www.foxnews.com/politics/from-cocaine-mitch-to-grim-reaper-mcconnell-nicknames-become-political-weapons","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","From ‘Cocaine Mitch’ to ‘Grim Reaper,’ McConnell nicknames become political weapons","","May 17","But back at the press conference, Schumer wondered if there was another way to neutralize Kryptonite.","null"
