web-scraper-order,web-scraper-start-url,articles,articles-href,title,subtitle,author,date,content
"1571099136-5671","https://www.nytimes.com/search?query=Betsy+Devos","The Comforts of the Betsy DeVos WarWhy did the Democrats fight so hard? The rules of normal pre-Trump politics still applied.By Ross DouthatPRINT EDITIONFebruary 8, 2017","https://www.nytimes.com/2017/02/07/opinion/the-comforts-of-the-betsy-devos-war.html?searchResultPosition=17","The Comforts of the Betsy DeVos War","null","Ross Douthat","Feb. 7, 2017",""
"1571099186-6013","https://www.nytimes.com/search?query=Betsy+Devos","U.S. Orders Duke and U.N.C. to Recast Tone in Mideast StudiesThe Education Department is investigating a Middle East studies program run by Duke and the University of North Carolina, citing, among other issues, how Judaism is discussed.By Erica L. GreenPRINT EDITIONU.S. Demands Colleges Recast Mideast Focus|September 20, 2019, Page A1","https://www.nytimes.com/2019/09/19/us/politics/anti-israel-bias-higher-education.html?searchResultPosition=2","U.S. Orders Duke and U.N.C. to Recast Tone in Mideast Studies","null","Erica L. Green","null",""
"1571099139-5692","https://www.nytimes.com/search?query=Betsy+Devos","Fashion’s Betsy DeVos ConnectionPamella Roland, the evening-wear line designed by Ms. DeVos’s sister-in-law, tries to keep politics off the runway.By Katherine RosmanPRINT EDITIONFebruary 16, 2017, Page D9","https://www.nytimes.com/2017/02/12/fashion/betsy-devos-pamella-roland-new-york-fashion-week.html?searchResultPosition=16","Fashion’s Betsy DeVos Connection","null","","Feb. 12, 2017","As to why, consider the response of some in attendance when they learned of her family connection."
"1571099124-5617","https://www.nytimes.com/search?query=Betsy+Devos","Protester Shouts ‘Shame’ at Betsy DeVosMs. DeVos, the new education secretary, was blocked from entering a middle school in Washington on Friday.By REUTERS","https://www.nytimes.com/video/us/100000004924754/protester-shouts-shame-at-betsy-devos.html?searchResultPosition=21","null","null","Op-Docs","null",""
"1571099127-5646","https://www.nytimes.com/search?query=Betsy+Devos","Big Worries About Betsy DeVosAs the Senate races to confirm Mr. Trump’s nominees, wealthy nominees with potential business conflicts have not made adequate financial disclosures.By The Editorial BoardPRINT EDITIONJanuary 10, 2017, Page A20","https://www.nytimes.com/2017/01/10/opinion/big-worries-about-betsy-devos.html?searchResultPosition=20","Big Worries About Betsy DeVos","null","","Jan. 10, 2017","Beyond erasing concerns about her many possible financial conflicts, Ms. DeVos also faces a big challenge in explaining the damage she’s done to public education in her home state, Michigan. She has poured money into charter schools advocacy, winning legislative changes that have reduced oversight and accountability. About 80 percent of the charter schools in Michigan are operated by for-profit companies, far higher than anywhere else. She has also argued for shutting down Detroit public schools, with the system turned over to charters or taxpayer money given out as vouchers for private schools. In that city, charter schools often perform no better than traditional schools, and sometimes worse."
"1571099166-5874","https://www.nytimes.com/search?query=Betsy+Devos","Emails Show DeVos Aides Pulled Strings for Failing For-Profit CollegesA House committee has a trove of documents that show top Education Department officials trying to prop up a for-profit chain as it careened toward collapse.By Erica L. Green and Stacy CowleyPRINT EDITIONFor-Profit Failure Clouds Education Dept.|July 24, 2019, Page B1","https://www.nytimes.com/2019/07/23/us/politics/dream-center.html?searchResultPosition=8","Emails Show DeVos Aides Pulled Strings for Failing For-Profit Colleges","null","","July 23, 2019","In written responses to questions from Congress, the Education Department said Ms. Jones was first made aware that the two Dream Center institutions were not accredited on July 10, 2018. She was unaware of the public notice that the Higher Learning Commission had issued nearly six months earlier, according to the agency. She was notified a week later that the institutions were misrepresenting their accreditation status and ordered them the next day to stop, the department said."
"1571099155-5783","https://www.nytimes.com/search?query=Betsy+Devos","The Bane That Is Betsy DeVosWatch out, the secretary of education is on the loose.By Gail CollinsPRINT EDITIONThe Bane  That Is  Betsy DeVos|August 18, 2018, Page A21","https://www.nytimes.com/2018/08/17/opinion/betsy-devos-for-profit-colleges.html?searchResultPosition=11","The Bane That Is Betsy DeVos","Watch out, the secretary of education is on the loose.","","null","Well, be a good citizen and stay with me for a minute."
"1571099166-5882","https://www.nytimes.com/search?query=Betsy+Devos","Emails Show DeVos Aides Pulled Strings for Failing For-Profit CollegesA House committee has a trove of documents that show top Education Department officials trying to prop up a for-profit chain as it careened toward collapse.By Erica L. Green and Stacy CowleyPRINT EDITIONFor-Profit Failure Clouds Education Dept.|July 24, 2019, Page B1","https://www.nytimes.com/2019/07/23/us/politics/dream-center.html?searchResultPosition=8","Emails Show DeVos Aides Pulled Strings for Failing For-Profit Colleges","null","","July 23, 2019","Ms. Jones said she had begun to revise that guidance months earlier to allay longstanding concerns about the department’s policy stemming from a dispute involving an accreditor of a nursing program. The retroactive policy would have also allowed students to more easily transfer their credits if they were earned at an accredited institution."
"1571099145-5726","https://www.nytimes.com/search?query=Betsy+Devos","The Risk with Betsy DeVosEducation reform has had some big successes — but the version that DeVos favors has been more worrisome.By David LeonhardtPRINT EDITIONNovember 25, 2016","https://www.nytimes.com/2016/11/24/opinion/the-risk-with-betsy-devos.html?searchResultPosition=14","The Risk with Betsy DeVos","null","","Nov. 24, 2016","Education reform — an inchoate mix of standards, accountability and choice — has succeeded in some big ways. These successes don’t get as much attention as they deserve, which is in part the fault of us in the media; we tend to focus on bad news, and to be sympathetic to traditional schools."
"1571099127-5647","https://www.nytimes.com/search?query=Betsy+Devos","Big Worries About Betsy DeVosAs the Senate races to confirm Mr. Trump’s nominees, wealthy nominees with potential business conflicts have not made adequate financial disclosures.By The Editorial BoardPRINT EDITIONJanuary 10, 2017, Page A20","https://www.nytimes.com/2017/01/10/opinion/big-worries-about-betsy-devos.html?searchResultPosition=20","Big Worries About Betsy DeVos","null","","Jan. 10, 2017","Mr. Trump has at times displayed breathtaking ignorance about the powers and basic function of government. Many on his transition team are new to government service as well. But the Senate, and people advising him, including Reince Priebus, his chief of staff, have no excuse."
