web-scraper-order,web-scraper-start-url,article_links,article_links-href,title,subtitle,author,date,content
"1574635640-19956","https://www.breitbart.com/tag/john-mccain/page/4","Energized Lindsey Graham Hits the Road for Republicans Ahead of Midterms","https://www.breitbart.com/politics/2018/10/19/energized-lindsey-graham-hits-road-republicans-ahead-midterms/","Energized Lindsey Graham Hits the Road for Republicans Ahead of Midterms","An energized Sen. Lindsey Graham (R-SC) announced a 12-day road trip to support Republican candidates ahead of the midterm elections.","","19 Oct 2018","Graham has already appeared to support South Carolina father and son Rep. Joe Wilson and Attorney General Alan Wilson."
"1574635779-20888","https://www.breitbart.com/tag/john-mccain/page/2","Meghan McCain Defends ‘Compassionate’ Biden Against #MeToo Allegations","https://www.breitbart.com/the-media/2019/04/02/meghan-mccain-defends-compassionate-biden-against-metoo-allegations/","Meghan McCain Defends ‘Compassionate’ Biden Against #MeToo Allegations","The View host Meghan McCain on Monday expressed support for former Vice President Joe Biden as the potential 2020 contender faces allegations of inappropriate touching.","","2 Apr 2019",""
"1574635535-19182","https://www.breitbart.com/tag/john-mccain/page/5","Donald Trump Expresses ‘Deepest Sympathies’ After John McCain’s Death","https://www.breitbart.com/politics/2018/08/25/donald-trump-expresses-deepest-sympathies-after-john-mccains-death/","Donald Trump Expresses ‘Deepest Sympathies’ After John McCain’s Death","President Donald Trump sent a short statement in response to the news that Sen. John McCain had died.","","25 Aug 2018","The president reacted quickly in response to the news despite a history of criticism between the two Republicans."
"1574635697-20322","https://www.breitbart.com/tag/john-mccain/page/3","Nolte: Spastic Beto O’Rourke Is No Barack Obama","https://www.breitbart.com/politics/2019/03/14/nolte-spastic-beto-orourke-is-no-barack-obama/","Nolte: Spastic Beto O’Rourke Is No Barack Obama","Yes, Barack Obama stutters a lot. Yes, Barack Obama wears mom jeans. But the primary reason Barack Obama served two terms as president was his poise, his cool.","","14 Mar 2019",""
"1574635615-19784","https://www.breitbart.com/tag/john-mccain/page/4","Leftist Media Define McCain’s Memorial Service: ‘Biggest Resistance Meeting Yet’","https://www.breitbart.com/politics/2018/09/03/leftist-media-define-mccains-memorial-service-biggest-resistance-meeting-yet/","Leftist Media Define McCain’s Memorial Service: ‘Biggest Resistance Meeting Yet’","The memorial service on Saturday at the National Cathedral in Washington, DC, for Sen. John McCain (R-AZ) included wide-ranging criticism of President Donald Trump, though he was not named, inspiring the left-wing media to describe the event as the “biggest Resistance meeting yet.”","","3 Sep 2018","“The America of John McCain does not need to be made great again, because it is already great,” McCain said."
"1574635732-20430","https://www.breitbart.com/tag/john-mccain/page/2","Donald Trump: Twitter Helps Me Communicate Past ‘Fake and Corrupt’ Media","https://www.breitbart.com/politics/2019/03/20/donald-trump-twitter-helps-me-communicate-past-fake-and-corrupt-media/","Donald Trump: Twitter Helps Me Communicate Past ‘Fake and Corrupt’ Media","President Donald Trump defended his decision to share his thoughts publicly on Twitter on Wednesday.","","20 Mar 2019","The president responded to White House reporters who asked him about his Twitter habits as he left the White House."
"1574635605-19667","https://www.breitbart.com/tag/john-mccain/page/4","Obama: McCain Made Bush and Me ‘Better Presidents’","https://www.breitbart.com/clips/2018/09/01/obama-mccain-made-bush-and-i-better-presidents/","Obama: McCain Made Bush and Me ‘Better Presidents’","null","","1 Sep 2018","Obama continued, “To start with, John liked being unpredictable, even a little contrarian. He had no interest in conforming to some prepackaged version of what a senator should be, and he didn’t want a memorial that was going to be prepackaged either. It also showed John’s disdain for self-pity. He had been to hell and back, and yet somehow never lost his energy or his optimism or his zest for life. So, cancer did not scare him, and he would maintain that buoyant spirit to the very end, too stubborn to sit still, opinionated as ever, fiercely devoted to his friends and most of all, to his family. It showed his irreverence, his sense of humor, a little bit of a mischievous streak. After all, what better way to get a last laugh than to make George and I say nice things about him to a national audience? And most of all, it showed a largeness of spirit, an ability to see past differences in search of common ground.”"
"1574635740-20545","https://www.breitbart.com/tag/john-mccain/page/2","Here’s Why Donald Trump Still Does Not Like John McCain","https://www.breitbart.com/politics/2019/03/20/heres-why-donald-trump-still-does-not-like-john-mccain/","Here’s Why Donald Trump Still Does Not Like John McCain","President Donald Trump explained why he did not like the late Senator John McCain, listing reasons why on Wednesday after taking the stage at an Ohio battle tank factory.","","20 Mar 2019","6) Trump Never got thanked by the McCain family for giving them the “funeral that he wanted.”"
"1574635803-21022","https://www.breitbart.com/tag/john-mccain/page/1","Donald Trump Denies Knowledge of Military Effort to Hide USS John McCain During Japan Visit","https://www.breitbart.com/politics/2019/05/29/donald-trump-denies-knowledge-of-military-effort-to-hide-uss-john-mccain-during-japan-visit/","Donald Trump Denies Knowledge of Military Effort to Hide USS John McCain During Japan Visit","President Donald Trump denied knowing of a White House effort to keep the USS John McCain out of sight during his visit to Japan and a trip to visit Armed Forces in the Pacific.","","29 May 2019","“I was not informed about anything having to do with the Navy Ship USS John S. McCain during my recent visit to Japan,” Trump wrote on Twitter. “Nevertheless, the first lady and I loved being with our great Military Men and Women – what a spectacular job they do!” he wrote."
"1574635681-20220","https://www.breitbart.com/tag/john-mccain/page/3","Meghan McCain: I Hate America Without My Father’s Leadership","https://www.breitbart.com/politics/2019/01/26/meghan-mccain-i-hate-america-without-my-fathers-leadership/","Meghan McCain: I Hate America Without My Father’s Leadership","Meghan McCain, co-host of ABC’s The View and daughter of the late Sen. John McCain (R-AZ), told CNN’s Van Jones in an interview broadcast Saturday that she hates the United States without her father’s leadership.","","26 Jan 2019","MEGHAN MCCAIN: The first thing I have to say is that I’m surrounded with support. Everywhere I go, somebody has an antidote they want to tell me about my dad and it’s a gift to have that because he’s always present in me, he’s clearly present in a lot of other people’s lives, as well. I try not to feel bad for myself, because I just don’t, I think he would be terribly pissed if I walked around that way, anyway. But, I learned that grief is a very toxic taboo subject. It makes people very uncomfortable, and I am almost five months out since he passed, and I’m sad every single day. I don’t think there’s anything wrong with sharing that. I have moments where I think that I just can’t do anything anymore without him, and it’s a weird place to be in, in so many different ways. As a daughter, I’m grieving and I’m sad."
