web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571542884-31500","https://www.usatoday.com/search/?q=betsy%20devos","","","A worthless degree? Betsy DeVos wants to change rules for which colleges stay open, close","https://www.usatoday.com/story/news/education/2019/06/21/college-closing-accreditation-betsy-devos-u-s-department-education/1505318001/","A worthless degree? Betsy DeVos wants to change rules for which colleges stay open, close","Trump's education secretary's plans for reforming U.S. education revolve around charter schools and vouchers.
Video provided by Newsy
    Newslook","","Published 11:54 a.m. ET June 21, 2019 | Updated 3:50 p.m. ET June 26, 2019","Education coverage at USA TODAY is made possible in part by a grant from the Bill & Melinda Gates Foundation. The Gates Foundation does not provide editorial input."
"1571542819-31133","https://www.usatoday.com/search/?q=betsy%20devos","","","A charter school faces ugly segregation history of racist school choice in the Deep South","https://www.usatoday.com/story/news/education/2019/09/20/racist-charter-school-choice-segregation-mississippi-clarksdale-collegiate/2383034001/","A charter school faces ugly segregation history of racist school choice in the Deep South","null","","Published 6:00 a.m. ET Sept. 20, 2019","Clarksdale Collegiate special education teacher Sakenna Dear — Ricky's foster mom — knows the frustrations. She and her husband Keithan are Coahoma-born and -bred, and they want to stay in the area. “If you were born here, you want to succeed,” she said. She became a teacher and did the best she could working at a traditional public school, even though the leadership rarely provided meaningful professional development or transparency, she said. Then Ricky started kindergarten, and she saw how deep the problems went. He had a substitute teacher all year, who sent home bad reports about Ricky’s academic progress. Yet at dinner, Ricky described days of coloring and watching movies."
"1571542847-31282","https://www.usatoday.com/search/?q=betsy%20devos","","","'Inexcusable failure': Chicago schools mishandled sex abuse claims, federal probe finds","https://www.usatoday.com/story/news/nation/2019/09/12/chicago-schools-mishandled-sex-abuse-claims-violated-title-ix-probe/2300861001/","'Inexcusable failure': Chicago schools mishandled sex abuse claims, federal probe finds","null","","Published 2:08 p.m. ET Sept. 12, 2019 | Updated 2:36 p.m. ET Sept. 12, 2019","Chicago Public Schools on Wednesday voluntarily entered into an agreement with the U.S. Department of Education to take steps to begin to address concerns identified by the probe, the department's Office of Civil Rights said in a release Thursday."
"1571542868-31367","https://www.usatoday.com/search/?q=betsy%20devos","","","Because of Larry Nassar, Michigan State has the most rapes reported in a year in campus safety report","https://www.usatoday.com/story/news/education/2019/10/03/michigan-state-university-clery-report-most-rapes-reported-2018/3850652002/","Because of Larry Nassar, Michigan State has the most rapes reported in a year in campus safety report","Simone Biles speaks out against USA Gymnastics for not protecting its athletes from convicted sexual predator Larry Nassar.
    USA TODAY","","Published 11:53 a.m. ET Oct. 3, 2019 | Updated 3:53 p.m. ET Oct. 3, 2019","Lou Anna Simon: Larry Nassar is guilty of sexual assault. Did Michigan State's ex-president lie to police about him?"
"1571542825-31160","https://www.usatoday.com/search/?q=betsy%20devos","","","We're mixing disasters now","https://www.usatoday.com/story/news/2019/09/05/hurricane-dorian-nassar-nicki-minaj-raiders-thursdays-news/2221056001/","We're mixing disasters now","null","","Published 6:12 p.m. ET Sept. 5, 2019 | Updated 6:28 p.m. ET Sept. 5, 2019","Nicki Minaj tweeted Thursday that she's ""decided to retire"" to focus on having a family, promptly setting the interwebs on fire. But is she really leaving music behind? Though the 36-year-old rap diva didn't expand on her tweet publicly, her announcement left fans reeling on Twitter. ""PLS SAY SIKE,"" one person tweeted. ""Delete this now,"" another wrote. Minaj's tweet comes about a month after she announced her plans to marry Kenneth Petty."
"1571542839-31248","https://www.usatoday.com/search/?q=betsy%20devos","","","Trump signs executive order to eliminate federal student loan debt for disabled vets","https://www.usatoday.com/story/news/2019/08/21/trump-signs-order-eliminate-student-loan-debt-disabled-vets/2078416001/","Trump signs executive order to eliminate federal student loan debt for disabled vets","Many older veterans didn't get the welcome home they deserved. This group is showing them that we care.
    Militarykind, USA TODAY","","Published 6:26 p.m. ET Aug. 21, 2019 | Updated 6:34 p.m. ET Aug. 21, 2019","About half of the roughly 50,000 disabled veterans who are qualified to have their federal student loan debt forgiven have received the benefit because of an application process that has proven burdensome, the administration said."
"1571542847-31285","https://www.usatoday.com/search/?q=betsy%20devos","","","'Inexcusable failure': Chicago schools mishandled sex abuse claims, federal probe finds","https://www.usatoday.com/story/news/nation/2019/09/12/chicago-schools-mishandled-sex-abuse-claims-violated-title-ix-probe/2300861001/","'Inexcusable failure': Chicago schools mishandled sex abuse claims, federal probe finds","null","","Published 2:08 p.m. ET Sept. 12, 2019 | Updated 2:36 p.m. ET Sept. 12, 2019","CPS failed to respond promptly and equitably to complaints; did not provide services and remedies to the complainants; did not notify the complainants of investigation outcomes; and did not take effective action to provide a safe environment for all students, according to a DOE press release."
"1571542825-31163","https://www.usatoday.com/search/?q=betsy%20devos","","","We're mixing disasters now","https://www.usatoday.com/story/news/2019/09/05/hurricane-dorian-nassar-nicki-minaj-raiders-thursdays-news/2221056001/","We're mixing disasters now","null","","Published 6:12 p.m. ET Sept. 5, 2019 | Updated 6:28 p.m. ET Sept. 5, 2019","This is a compilation of stories from across the USA TODAY Network. Want this snappy news roundup in your inbox every night? Sign up for ""The Short List"" newsletter here."
"1571542816-31071","https://www.usatoday.com/search/?q=betsy%20devos","","","Democratic debate featured frontrunners who battled each other, attacked Trump","https://www.usatoday.com/story/news/politics/elections/2019/09/12/democratic-debate-stage-features-front-runners-joe-biden-bernie-sanders-elizabeth-warren/2291858001/","Democratic debate featured frontrunners who battled each other, attacked Trump","Health care was the dominant issue, and front runner Joe Biden was the main target for the other nine candidates on the stage.
    USA TODAY","","Published 6:42 p.m. ET Sept. 12, 2019 | Updated 3:03 p.m. ET Sept. 13, 2019","But that doesn’t mean that the president doesn’t have thoughts."
"1571542816-30995","https://www.usatoday.com/search/?q=betsy%20devos","","","Democratic debate featured frontrunners who battled each other, attacked Trump","https://www.usatoday.com/story/news/politics/elections/2019/09/12/democratic-debate-stage-features-front-runners-joe-biden-bernie-sanders-elizabeth-warren/2291858001/","Democratic debate featured frontrunners who battled each other, attacked Trump","Health care was the dominant issue, and front runner Joe Biden was the main target for the other nine candidates on the stage.
    USA TODAY","","Published 6:42 p.m. ET Sept. 12, 2019 | Updated 3:03 p.m. ET Sept. 13, 2019","Then the California senator thanked Bernie Sanders for proposing Medicare for All."
