web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571542278-29677","https://www.usatoday.com/search/?q=hillary%20clinton","","","Chelsea Clinton says she won't run for Nita Lowey's New York House seat in 2020","https://www.usatoday.com/story/news/politics/elections/2019/10/16/chelsea-clinton-congress-nita-lowey-us-house-of-representatives/3998039002/","Chelsea Clinton says she won't run for Nita Lowey's New York House seat in 2020","Amid speculation that she may run for congress, Chelsea Clinton criticized leadership while receiving the Eleanor Roosevelt Val-Kill Medal.
    Seth Harrison/lohud, The Journal News/lohud","","Published 12:32 p.m. ET Oct. 16, 2019 | Updated 1:57 p.m. ET Oct. 16, 2019","October debate: Here are the winners and losers from Tuesday's Democratic debate"
"1571542323-29819","https://www.usatoday.com/search/?q=hillary%20clinton","","","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","https://www.usatoday.com/story/news/politics/elections/2019/10/19/tulsi-gabbard-hillary-clinton-russia-claims-iowa-city-tailgate-election-2020/4037543002/","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","Democrat Tulsi Gabbard, a U.S. representative from Hawaii, spoke Friday, Aug. 9, 2019, at the Des Moines Register Political Soapbox at the Iowa State Fair.
    Des Moines Register","","Published 3:35 p.m. ET Oct. 19, 2019","Some Iowans showed their support for Gabbard after former Secretary of State Hillary Clinton suggested that Russians are ""grooming"" a Democratic presidential candidate to run as a third-party candidate Friday."
"1571542286-29717","https://www.usatoday.com/search/?q=hillary%20clinton","","","Hillary Clinton questions Pompeo's handling of Trump's Ukraine call and mocks Giuliani","https://www.usatoday.com/story/news/politics/2019/10/01/hillary-clinton-mike-pompeo-late-show/3828685002/","Hillary Clinton questions Pompeo's handling of Trump's Ukraine call and mocks Giuliani","Whistleblowers have been at time essential and detrimental to a country's democracy, but what makes them different than a leaker? We explain.
    Just the FAQs, USA TODAY","","Published 1:10 p.m. ET Oct. 1, 2019 | Updated 11:35 a.m. ET Oct. 2, 2019","Full text: Read the summary of President Trump's call with Ukraine president about Biden"
"1571542314-29799","https://www.usatoday.com/search/?q=hillary%20clinton","","","Hillary Clinton says Duchess Meghan's race is 'certainly part of' media's treatment of her","https://www.usatoday.com/story/entertainment/celebrities/2019/10/14/hillary-clinton-says-race-part-medias-coverage-meghan-markle/3973203002/","Hillary Clinton says Duchess Meghan's race is 'certainly part of' media's treatment of her","Hillary Clinton on Thursday said President Donald Trump, the man who beat her in the 2016 election, posed a ""clear and present danger"" to the future of the country. Clinton was speaking at an event in Washington, DC. (Sept. 27)
    AP, AP","","Published 8:23 a.m. ET Oct. 14, 2019","The royal, 35, continued: ""I have been a silent witness to her private suffering for too long. To stand back and do nothing would be contrary to everything we believe in."""
"1571542274-29655","https://www.usatoday.com/search/?q=hillary%20clinton","","","Could Chelsea Clinton run for a New York House seat?","https://www.usatoday.com/story/news/politics/2019/10/11/chelsea-clinton-make-run-nita-loweys-house-seat-2020/3946455002/","Could Chelsea Clinton run for a New York House seat?","Chelsea Clinton reveals the inspiration behind her new book, 'Start Now!' and tells why she responds to bullying on Twitter. (Oct. 4)
    AP","","Published 3:58 p.m. ET Oct. 11, 2019","What does Lowey, the first woman to lead the powerful House Appropriations Committee, think about a possible Clinton run?"
"1571542253-29599","https://www.usatoday.com/search/?q=hillary%20clinton","","","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","https://www.usatoday.com/story/news/politics/2019/08/20/hillary-clinton-responds-trump-tweet-google-vote-manipulation/2059138001/","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","President Trump questioned the financial side of the New York Times and said the paper will endorse him in 2020 just to keep their business going.
    Buzz60, Buzz60","","Published 6:55 a.m. ET Aug. 20, 2019 | Updated 8:45 a.m. ET Aug. 20, 2019","Epstein and Robertson had hedged their findings in their paper, too."
"1571542278-29691","https://www.usatoday.com/search/?q=hillary%20clinton","","","Chelsea Clinton says she won't run for Nita Lowey's New York House seat in 2020","https://www.usatoday.com/story/news/politics/elections/2019/10/16/chelsea-clinton-congress-nita-lowey-us-house-of-representatives/3998039002/","Chelsea Clinton says she won't run for Nita Lowey's New York House seat in 2020","Amid speculation that she may run for congress, Chelsea Clinton criticized leadership while receiving the Eleanor Roosevelt Val-Kill Medal.
    Seth Harrison/lohud, The Journal News/lohud","","Published 12:32 p.m. ET Oct. 16, 2019 | Updated 1:57 p.m. ET Oct. 16, 2019","Registered Democrats outnumber Republicans by more than 2-to-1 in the 17th district, according to state Board of Elections figures."
"1571542286-29726","https://www.usatoday.com/search/?q=hillary%20clinton","","","Hillary Clinton questions Pompeo's handling of Trump's Ukraine call and mocks Giuliani","https://www.usatoday.com/story/news/politics/2019/10/01/hillary-clinton-mike-pompeo-late-show/3828685002/","Hillary Clinton questions Pompeo's handling of Trump's Ukraine call and mocks Giuliani","Whistleblowers have been at time essential and detrimental to a country's democracy, but what makes them different than a leaker? We explain.
    Just the FAQs, USA TODAY","","Published 1:10 p.m. ET Oct. 1, 2019 | Updated 11:35 a.m. ET Oct. 2, 2019","""We've known for a long time that he was a corrupt businessman who cheated people. And we've known that he and his campaign asked for aid from Russia. We've known that,"" she said. ""But to see him in the office of the president, putting his own personal and political interests ahead of the national security of our country, just pierced through whatever confusion or denial people had."""
"1571542291-29733","https://www.usatoday.com/search/?q=hillary%20clinton","","","'This is a moment of reckoning': Hillary Clinton praises Pelosi for impeachment inquiry","https://www.usatoday.com/story/news/politics/2019/09/27/hillary-clinton-praises-nancy-pelosi-impeachment-inquiry/3785377002/","'This is a moment of reckoning': Hillary Clinton praises Pelosi for impeachment inquiry","Impeaching a U.S. president might not be the be-all-end-all for their career. We explain why this is the case.
    Just the FAQs, USA TODAY","","Published 10:41 a.m. ET Sept. 27, 2019 | Updated 11:13 a.m. ET Sept. 30, 2019","More: As whistleblower report on Trump and Ukraine reverberates through Washington, scandal will test Pence"
"1571542260-29608","https://www.usatoday.com/search/?q=hillary%20clinton","","","Senate report calls for action against foreign election interference amid Trump-Ukraine controversy","https://www.usatoday.com/story/news/politics/2019/10/08/senate-russia-helped-trump-against-clinton-2016/3909680002/","Senate report calls for action against foreign election interference amid Trump-Ukraine controversy","Russia interfered in the 2016 presidential elections and helped Donald Trump win. We look back at history and ask: Will they do it again?
    Just the FAQs, USA TODAY","","Published 2:40 p.m. ET Oct. 8, 2019 | Updated 5:07 p.m. ET Oct. 8, 2019","Russia has denied any involvement in the 2016 election interference, though Russian President Vladimir Putin has joked about future interference in the 2020 election."
"1571542323-29822","https://www.usatoday.com/search/?q=hillary%20clinton","","","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","https://www.usatoday.com/story/news/politics/elections/2019/10/19/tulsi-gabbard-hillary-clinton-russia-claims-iowa-city-tailgate-election-2020/4037543002/","U.S. Rep. Tulsi Gabbard says Hillary Clinton 'knows she can't control me'","Democrat Tulsi Gabbard, a U.S. representative from Hawaii, spoke Friday, Aug. 9, 2019, at the Des Moines Register Political Soapbox at the Iowa State Fair.
    Des Moines Register","","Published 3:35 p.m. ET Oct. 19, 2019","More: Tulsi Gabbard fires back at Hillary Clinton suggestion that she's Russia's pawn"
"1571542240-29562","https://www.usatoday.com/search/?q=hillary%20clinton","","","Forget Donald Trump, Republicans. Save the GOP for the sake of your party's future.","https://www.usatoday.com/story/opinion/2019/10/17/forget-donald-trump-republicans-save-gop-future-editorials-debates/3979356002/","Forget Donald Trump, Republicans. Save the GOP for the sake of your party's future.","null","","Published 5:52 p.m. ET Oct. 17, 2019 | Updated 5:58 p.m. ET Oct. 17, 2019","Rep. Don Young, Alaska"
"1571542274-29641","https://www.usatoday.com/search/?q=hillary%20clinton","","","Could Chelsea Clinton run for a New York House seat?","https://www.usatoday.com/story/news/politics/2019/10/11/chelsea-clinton-make-run-nita-loweys-house-seat-2020/3946455002/","Could Chelsea Clinton run for a New York House seat?","Chelsea Clinton reveals the inspiration behind her new book, 'Start Now!' and tells why she responds to bullying on Twitter. (Oct. 4)
    AP","Swapna Venugopal Ramaswamy","Published 3:58 p.m. ET Oct. 11, 2019",""
"1571542274-29657","https://www.usatoday.com/search/?q=hillary%20clinton","","","Could Chelsea Clinton run for a New York House seat?","https://www.usatoday.com/story/news/politics/2019/10/11/chelsea-clinton-make-run-nita-loweys-house-seat-2020/3946455002/","Could Chelsea Clinton run for a New York House seat?","Chelsea Clinton reveals the inspiration behind her new book, 'Start Now!' and tells why she responds to bullying on Twitter. (Oct. 4)
    AP","","Published 3:58 p.m. ET Oct. 11, 2019","More: Here are the lawmakers who aren't running again in 2020"
"1571542236-29519","https://www.usatoday.com/search/?q=hillary%20clinton","","https://www.usatoday.com/search/?q=hillary%20clinton&page=5","","","","","","",""
"1571542253-29592","https://www.usatoday.com/search/?q=hillary%20clinton","","","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","https://www.usatoday.com/story/news/politics/2019/08/20/hillary-clinton-responds-trump-tweet-google-vote-manipulation/2059138001/","'Debunked': Hillary Clinton slams Trump's claim of voter manipulation","President Trump questioned the financial side of the New York Times and said the paper will endorse him in 2020 just to keep their business going.
    Buzz60, Buzz60","","Published 6:55 a.m. ET Aug. 20, 2019 | Updated 8:45 a.m. ET Aug. 20, 2019","She had been referring to Trump's post earlier Monday about alleged voter fraud in the 2016 election. Trump had said on Twitter that because of Google's misdeeds, ""Google must be sued"" and added that his electoral victory should have been larger."
