web-scraper-order,web-scraper-start-url,pages,pages-href,article_links,article_links-href,title,subtitle,author,date,content
"1571542042-29337","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Republicans air ad about the dangers of 'socialism' and AOC during the Democratic debate","https://www.usatoday.com/story/news/politics/elections/2019/09/12/republicans-slam-aoc-and-socialism-ad-during-democratic-debate/2307163001/","Republicans air ad about the dangers of 'socialism' and AOC during the Democratic debate","Health care was the dominant issue, and front runner Joe Biden was the main target for the other nine candidates on the stage.
    USA TODAY","","Published 10:03 p.m. ET Sept. 12, 2019 | Updated 3:07 p.m. ET Sept. 13, 2019","A Republican-affiliated PAC ran an ad during the Democratic presidential debate calling out ""socialism"" and asking if voters wanted progressive Democrats like Rep. Alexandria Ocasio-Cortez, D-N.Y., to be the future of America."
"1571542030-29300","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","'She should be shot': Ohio man charged after Facebook threat against Ocasio-Cortez","https://www.usatoday.com/story/news/politics/2019/08/10/toledo-ohio-man-charged-after-post-facebook-ocasio-cortez/1975362001/","'She should be shot': Ohio man charged after Facebook threat against Ocasio-Cortez","An Ohio fugitive has been charged with making threats after allegedly writing on Facebook that Rep. Alexandria Ocasio-Cortez quote “should be shot.”
    Buzz60","","Published 11:50 a.m. ET Aug. 10, 2019 | Updated 4:45 p.m. ET Aug. 10, 2019","Ireland told agents he did not have a gun in his house but brought ammunition with him when he moved into the house."
"1571542051-29368","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","AOC says bigger scandal than Trump's 'lawbreaking behavior' is Dems' refusal to impeach","https://www.usatoday.com/story/news/politics/2019/09/22/aoc-says-bigger-scandal-than-ukraine-dems-refusal-impeach-trump/2410671001/","AOC says bigger scandal than Trump's 'lawbreaking behavior' is Dems' refusal to impeach","Biden's son Hunter had business interests in Ukraine, said Trump is using his power to get a foreign government to find dirt on a political rival.
    Wochit, Wochit","","Published 11:46 a.m. ET Sept. 22, 2019 | Updated 1:34 p.m. ET Sept. 22, 2019","Rep. Adam Schiff, D-Calif., the chair of the House Intelligence Committee, said in a Sunday morning television interview, ""we very well may have crossed the Rubicon here.”"
"1571542012-29274","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez&page=5","","","","","","",""
"1571542092-29486","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Alexandria Ocasio-Cortez told Bernie Sanders about her endorsement while he was still in the hospital","https://www.usatoday.com/story/news/politics/elections/2019/10/16/aoc-ilhan-omar-told-bernie-sanders-endorsements-after-heart-attack/4003249002/","Alexandria Ocasio-Cortez told Bernie Sanders about her endorsement while he was still in the hospital","Aamer Madhani discusses how Bernie Sanders' health scare brings questions about age to the forefront, not just for Bernie.
    USA TODAY","","Published 7:10 p.m. ET Oct. 16, 2019","But Sanders got the news from the New York representative herself as he was still recovering in the hospital from a heart attack earlier this month, according to a new report."
"1571542092-29490","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Alexandria Ocasio-Cortez told Bernie Sanders about her endorsement while he was still in the hospital","https://www.usatoday.com/story/news/politics/elections/2019/10/16/aoc-ilhan-omar-told-bernie-sanders-endorsements-after-heart-attack/4003249002/","Alexandria Ocasio-Cortez told Bernie Sanders about her endorsement while he was still in the hospital","Aamer Madhani discusses how Bernie Sanders' health scare brings questions about age to the forefront, not just for Bernie.
    USA TODAY","","Published 7:10 p.m. ET Oct. 16, 2019","Sanders said during Tuesday's debate that a ""special guest"" would be joining him at a rally this weekend, and it was later confirmed the guest would be Ocasio-Cortez and that she would make her endorsement then."
"1571542096-29500","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","https://www.usatoday.com/story/opinion/2019/10/16/alexandria-ocasio-cortez-bernie-sanders-democratic-debate-column/3990254002/","Bernie Sanders is big Democratic debate winner, and only partly due to his performance","Debate winners and losers, Warren on the defensive, and what we're watching for before the next Democratic debate.
    Hannah Gaber, USA TODAY","","Published 7:10 a.m. ET Oct. 16, 2019 | Updated 4:36 p.m. ET Oct. 16, 2019","Former Vice President Joe Biden was optimistic and self-congratulatory as he tried to win the John McCain name-dropping contest. Rep. Tulsi Gabbard of Hawaii confounded everyone by spreading the blame for the slaughter of the Kurds in northern Syria that Donald Trump invited to members of “both parties.” And Andrew Yang got to say lots of things as if no one had ever thought of them before."
"1571542039-29331","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","Alexandria Ocasio-Cortez's chief of staff, spokesman leave her congressional office","https://www.usatoday.com/story/news/politics/2019/08/02/alexandria-ocasio-cortezs-chief-staff-spokesman-leave-her-office/1906807001/","Alexandria Ocasio-Cortez's chief of staff, spokesman leave her congressional office","Democratic socialist Alexandria Ocasio-Cortez is the newest political figure everyone loves or loves to hate. From her ‘Green New Deal’ proposal to combat climate change to her clapbacks against Trump and her critics, here’s how AOC danced her way into the spotlight.
    USA TODAY","","Published 9:49 p.m. ET Aug. 2, 2019 | Updated 12:40 a.m. ET Aug. 3, 2019","“It shows you how ignorant and little history [Chakrabarti] knows, how ignorant he is to American history. How dare he,” Clay said at the time."
"1571542021-29282","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","'Passive aggression. It's a lifestyle': Ocasio-Cortez responds to a GOP congressional critic","https://www.usatoday.com/story/news/politics/2019/07/30/alexandria-ocasio-cortez-responds-rep-jody-hices-comments-migrant-detention/1872484001/","'Passive aggression. It's a lifestyle': Ocasio-Cortez responds to a GOP congressional critic","The hearing held by House Democrats targeted the administration's immigration policies and the rapidly deteriorating conditions in detention centers.
    USA TODAY","","Published 7:40 p.m. ET July 30, 2019","""There's drinkable water within this toilet system, AOC is giving fallacious information, here's the truth,"" Hice said, after drinking from it."
"1571542021-29277","https://www.usatoday.com/search/?q=alexandria%20ocasio-cortez","","","'Passive aggression. It's a lifestyle': Ocasio-Cortez responds to a GOP congressional critic","https://www.usatoday.com/story/news/politics/2019/07/30/alexandria-ocasio-cortez-responds-rep-jody-hices-comments-migrant-detention/1872484001/","'Passive aggression. It's a lifestyle': Ocasio-Cortez responds to a GOP congressional critic","The hearing held by House Democrats targeted the administration's immigration policies and the rapidly deteriorating conditions in detention centers.
    USA TODAY","","Published 7:40 p.m. ET July 30, 2019","WASHINGTON – Rep. Alexandria Ocasio-Cortezresponded Tuesday to criticism from a Republican congressman by saying he lied about her and asking for civility in their shared workplace of the House of Representatives."
